Age of Death,Type
11.45516769,Maltese Terrier
7.663130276,Maltese Terrier
10.00125485,Maltese Terrier
14.46132786,Maltese Terrier
4.68708647,Maltese Terrier
6.576317591,Maltese Terrier
9.544147844,Maltese Terrier
12.13415469,Maltese Terrier
9.015628565,Maltese Terrier
14.89390828,Maltese Terrier
3.32911248,Maltese Terrier
10.8937942,Maltese Terrier
12.02726443,Maltese Terrier
13.45642254,Maltese Terrier
11.27983117,Maltese Terrier
11.57015743,Maltese Terrier
15.83835273,Maltese Terrier
9.683778234,Maltese Terrier
3.999885923,Maltese Terrier
12.2791467,Maltese Terrier
14.17111567,Maltese Terrier
13.41535478,Maltese Terrier
18.34360027,Maltese Terrier
11.80549852,Maltese Terrier
11.12388775,Maltese Terrier
11.07734428,Maltese Terrier
14.46121378,Maltese Terrier
15.02258727,Maltese Terrier
17.22096737,Maltese Terrier
