Age of Death,Type
15.55373032,Miniature Dachshund
2.198494182,Miniature Dachshund
7.520762035,Miniature Dachshund
13.9998594,Miniature Dachshund
5.240246407,Miniature Dachshund
6.173739448,Miniature Dachshund
7.824663473,Miniature Dachshund
13.41261693,Miniature Dachshund
15.37303217,Miniature Dachshund
0.871489245,Miniature Dachshund
2.737850787,Miniature Dachshund
4.626853753,Miniature Dachshund
10.47216518,Miniature Dachshund
12.47900981,Miniature Dachshund
14.8828428,Miniature Dachshund
6.001254848,Miniature Dachshund
4.0,Miniature Dachshund
4.646669424,Miniature Dachshund
11.87942049,Miniature Dachshund
4.539356605,Miniature Dachshund
13.6480721,Miniature Dachshund
0.19701118,Miniature Dachshund
6.255874971,Miniature Dachshund
5.620693589,Miniature Dachshund
5.393566051,Miniature Dachshund
8.736481862,Miniature Dachshund
12.59411362,Miniature Dachshund
6.915697011,Miniature Dachshund
4.301049509,Miniature Dachshund
9.004677162,Miniature Dachshund
9.73853525,Miniature Dachshund
10.09434178,Miniature Dachshund
10.94033767,Miniature Dachshund
15.19495779,Miniature Dachshund
13.04848277,Miniature Dachshund
6.98140543,Miniature Dachshund
9.505703856,Miniature Dachshund
17.43178188,Miniature Dachshund
11.26887976,Miniature Dachshund
6.343600274,Miniature Dachshund
4.522815423,Miniature Dachshund
0.465320557,Miniature Dachshund
7.170317134,Miniature Dachshund
8.506502396,Miniature Dachshund
11.49064568,Miniature Dachshund
13.54950947,Miniature Dachshund
13.7357974,Miniature Dachshund
14.44752453,Miniature Dachshund
14.72142368,Miniature Dachshund
18.25039927,Miniature Dachshund
2.488592288,Miniature Dachshund
7.696098563,Miniature Dachshund
14.41204654,Miniature Dachshund
7.435888661,Miniature Dachshund
0.166894821,Miniature Dachshund
11.94786676,Miniature Dachshund
8.298311659,Miniature Dachshund
6.340862423,Miniature Dachshund
7.731690623,Miniature Dachshund
10.02327173,Miniature Dachshund
5.891740817,Miniature Dachshund
11.65765457,Miniature Dachshund
12.64339493,Miniature Dachshund
11.78359571,Miniature Dachshund
14.46942733,Miniature Dachshund
10.29968058,Miniature Dachshund
15.43588866,Miniature Dachshund
17.16632444,Miniature Dachshund
9.880789414,Miniature Dachshund
5.691991786,Miniature Dachshund
16.03547798,Miniature Dachshund
14.57905544,Miniature Dachshund
5.678302533,Miniature Dachshund
12.71446498,Miniature Dachshund
14.5159708,Miniature Dachshund
13.51665526,Miniature Dachshund
13.03205567,Miniature Dachshund
14.94581337,Miniature Dachshund
5.968400639,Miniature Dachshund
10.71309605,Miniature Dachshund
10.3380105,Miniature Dachshund
12.25735797,Miniature Dachshund
18.00136893,Miniature Dachshund
5.371663244,Miniature Dachshund
6.149212868,Miniature Dachshund
10.45859001,Miniature Dachshund
15.99988592,Miniature Dachshund
9.045744924,Miniature Dachshund
14.54608715,Miniature Dachshund
14.95128907,Miniature Dachshund
13.24845996,Miniature Dachshund
11.00330824,Miniature Dachshund
13.70020534,Miniature Dachshund
10.76785307,Miniature Dachshund
11.10187086,Miniature Dachshund
15.60848734,Miniature Dachshund
14.65297741,Miniature Dachshund
13.35249829,Miniature Dachshund
16.42162902,Miniature Dachshund
