Age of Death,Type
15.76716861,Miniature Poodle
12.45448323,Miniature Poodle
14.98961898,Miniature Poodle
10.92938627,Miniature Poodle
21.03479352,Miniature Poodle
16.00536162,Miniature Poodle
9.998631075,Miniature Poodle
3.099247091,Miniature Poodle
11.64122747,Miniature Poodle
14.79523158,Miniature Poodle
16.3394935,Miniature Poodle
16.67065937,Miniature Poodle
17.19632672,Miniature Poodle
13.60711841,Miniature Poodle
13.94387406,Miniature Poodle
9.880789414,Miniature Poodle
14.77606662,Miniature Poodle
17.05122063,Miniature Poodle
10.00136893,Miniature Poodle
16.0054757,Miniature Poodle
13.18263746,Miniature Poodle
14.04779831,Miniature Poodle
15.52349989,Miniature Poodle
11.4057723,Miniature Poodle
10.23408624,Miniature Poodle
14.0039927,Miniature Poodle
11.64670317,Miniature Poodle
13.10050194,Miniature Poodle
15.94524298,Miniature Poodle
