Age of Death,Type
10.02053388,Miniature Yorkshire Terrier
8.473648186,Miniature Yorkshire Terrier
7.271617614,Miniature Yorkshire Terrier
11.44957791,Miniature Yorkshire Terrier
1.796030116,Miniature Yorkshire Terrier
4.662331736,Miniature Yorkshire Terrier
8.002737851,Miniature Yorkshire Terrier
8.358658453,Miniature Yorkshire Terrier
11.59753593,Miniature Yorkshire Terrier
14.26694045,Miniature Yorkshire Terrier
17.01551449,Miniature Yorkshire Terrier
11.90143737,Miniature Yorkshire Terrier
11.69872234,Miniature Yorkshire Terrier
14.43109742,Miniature Yorkshire Terrier
16.0,Miniature Yorkshire Terrier
11.00330824,Miniature Yorkshire Terrier
17.02384212,Miniature Yorkshire Terrier
12.77207392,Miniature Yorkshire Terrier
14.06148757,Miniature Yorkshire Terrier
16.0,Miniature Yorkshire Terrier
12.78576318,Miniature Yorkshire Terrier
16.71446498,Miniature Yorkshire Terrier
12.32021446,Miniature Yorkshire Terrier
