Age of Death,Type
7.025211043,Norfolk Terrier
7.96440794,Norfolk Terrier
10.68024184,Norfolk Terrier
11.00068446,Norfolk Terrier
12.54471823,Norfolk Terrier
14.20396988,Norfolk Terrier
15.14031485,Norfolk Terrier
0.013689254,Norfolk Terrier
9.155258955,Norfolk Terrier
11.20054757,Norfolk Terrier
13.15525896,Norfolk Terrier
12.0109514,Norfolk Terrier
13.66461328,Norfolk Terrier
11.83835273,Norfolk Terrier
14.45859001,Norfolk Terrier
3.367442391,Norfolk Terrier
12.75838467,Norfolk Terrier
9.423682409,Norfolk Terrier
14.31622177,Norfolk Terrier
14.55715264,Norfolk Terrier
15.94786676,Norfolk Terrier
