Age of Death,Type
12.95003422,Parson Russell Terrier
7.627538216,Parson Russell Terrier
13.27572439,Parson Russell Terrier
13.95197353,Parson Russell Terrier
15.80549852,Parson Russell Terrier
12.50365047,Parson Russell Terrier
12.74458134,Parson Russell Terrier
16.73648186,Parson Russell Terrier
14.75142596,Parson Russell Terrier
11.4779777,Parson Russell Terrier
12.37770933,Parson Russell Terrier
19.00342231,Parson Russell Terrier
14.00136893,Parson Russell Terrier
14.06433949,Parson Russell Terrier
16.11213781,Parson Russell Terrier
13.21275382,Parson Russell Terrier
1.467373945,Parson Russell Terrier
6.567989961,Parson Russell Terrier
11.00057039,Parson Russell Terrier
11.70693589,Parson Russell Terrier
12.00273785,Parson Russell Terrier
12.05464294,Parson Russell Terrier
12.7810761,Parson Russell Terrier
14.46132786,Parson Russell Terrier
15.00057039,Parson Russell Terrier
16.71731691,Parson Russell Terrier
9.746634725,Parson Russell Terrier
10.22039699,Parson Russell Terrier
9.776865161,Parson Russell Terrier
14.59263062,Parson Russell Terrier
13.1470454,Parson Russell Terrier
14.52156057,Parson Russell Terrier
3.698722336,Parson Russell Terrier
12.62673968,Parson Russell Terrier
13.48939083,Parson Russell Terrier
14.83367556,Parson Russell Terrier
13.70556696,Parson Russell Terrier
11.21423682,Parson Russell Terrier
13.50581793,Parson Russell Terrier
16.46258271,Parson Russell Terrier
12.13677846,Parson Russell Terrier
14.00125485,Parson Russell Terrier
17.26488706,Parson Russell Terrier
2.22587269,Parson Russell Terrier
19.00604609,Parson Russell Terrier
