Age of Death,Type
13.58236368,Patterdale Terrier
13.41809263,Patterdale Terrier
16.04654346,Patterdale Terrier
16.15331964,Patterdale Terrier
1.858886607,Patterdale Terrier
3.033424595,Patterdale Terrier
3.92881588,Patterdale Terrier
3.999885923,Patterdale Terrier
7.266255989,Patterdale Terrier
8.065594342,Patterdale Terrier
9.319530002,Patterdale Terrier
14.48870637,Patterdale Terrier
7.734200319,Patterdale Terrier
8.843258042,Patterdale Terrier
15.62480037,Patterdale Terrier
19.00057039,Patterdale Terrier
11.42778919,Patterdale Terrier
15.88774812,Patterdale Terrier
16.57483459,Patterdale Terrier
5.025125168,Patterdale Terrier
8.949920146,Patterdale Terrier
12.53114305,Patterdale Terrier
13.28667579,Patterdale Terrier
13.42356833,Patterdale Terrier
13.75758613,Patterdale Terrier
16.99931554,Patterdale Terrier
17.27572439,Patterdale Terrier
17.58521561,Patterdale Terrier
12.51460187,Patterdale Terrier
14.09707963,Patterdale Terrier
14.7048825,Patterdale Terrier
10.0807666,Patterdale Terrier
13.32774355,Patterdale Terrier
14.57346566,Patterdale Terrier
16.26283368,Patterdale Terrier
16.65970796,Patterdale Terrier
7.446840064,Patterdale Terrier
13.77401323,Patterdale Terrier
1.919233402,Patterdale Terrier
3.003422313,Patterdale Terrier
5.053958476,Patterdale Terrier
7.394934976,Patterdale Terrier
8.068332193,Patterdale Terrier
12.1011864,Patterdale Terrier
12.68149669,Patterdale Terrier
14.20933151,Patterdale Terrier
14.40383299,Patterdale Terrier
15.07175451,Patterdale Terrier
15.80549852,Patterdale Terrier
16.11772758,Patterdale Terrier
16.33127995,Patterdale Terrier
17.00193931,Patterdale Terrier
11.63039014,Patterdale Terrier
15.71514944,Patterdale Terrier
11.24971481,Patterdale Terrier
13.08692676,Patterdale Terrier
3.999885923,Patterdale Terrier
15.91501255,Patterdale Terrier
8.169632672,Patterdale Terrier
9.998631075,Patterdale Terrier
13.24834588,Patterdale Terrier
7.770020534,Patterdale Terrier
9.502966005,Patterdale Terrier
11.58932238,Patterdale Terrier
9.998631075,Patterdale Terrier
15.18674424,Patterdale Terrier
6.161732293,Patterdale Terrier
13.96303901,Patterdale Terrier
14.8664157,Patterdale Terrier
15.16495551,Patterdale Terrier
15.21959845,Patterdale Terrier
0.577572439,Patterdale Terrier
15.39493498,Patterdale Terrier
9.735683322,Patterdale Terrier
15.26625599,Patterdale Terrier
0.180698152,Patterdale Terrier
15.14031485,Patterdale Terrier
13.16894821,Patterdale Terrier
12.14510609,Patterdale Terrier
9.59057723,Patterdale Terrier
11.15674196,Patterdale Terrier
12.60780287,Patterdale Terrier
14.32991102,Patterdale Terrier
14.5269222,Patterdale Terrier
16.45448323,Patterdale Terrier
4.24366872,Patterdale Terrier
7.000570386,Patterdale Terrier
0.862422998,Patterdale Terrier
1.437371663,Patterdale Terrier
2.001368925,Patterdale Terrier
13.82746993,Patterdale Terrier
15.00068446,Patterdale Terrier
15.47695642,Patterdale Terrier
16.88421173,Patterdale Terrier
13.59879078,Patterdale Terrier
11.13746292,Patterdale Terrier
13.62628337,Patterdale Terrier
14.8718914,Patterdale Terrier
11.55361624,Patterdale Terrier
14.41467032,Patterdale Terrier
17.61795574,Patterdale Terrier
17.26214921,Patterdale Terrier
16.18332193,Patterdale Terrier
16.11487566,Patterdale Terrier
8.845881816,Patterdale Terrier
13.99863107,Patterdale Terrier
10.01232033,Patterdale Terrier
11.42767511,Patterdale Terrier
12.92539357,Patterdale Terrier
15.89322382,Patterdale Terrier
