Age of Death,Type
11.03353867,Pomeranian X
0.780287474,Pomeranian X
1.839721652,Pomeranian X
10.11635866,Pomeranian X
9.149669176,Pomeranian X
11.37839379,Pomeranian X
13.72199407,Pomeranian X
1.478439425,Pomeranian X
2.70214465,Pomeranian X
5.831508099,Pomeranian X
9.002053388,Pomeranian X
10.3434862,Pomeranian X
11.07449236,Pomeranian X
11.12103582,Pomeranian X
13.94934976,Pomeranian X
16.42699065,Pomeranian X
0.002623774,Pomeranian X
6.039584759,Pomeranian X
11.58647045,Pomeranian X
5.620693589,Pomeranian X
11.98631075,Pomeranian X
8.421514944,Pomeranian X
11.6495551,Pomeranian X
8.695300023,Pomeranian X
