Age of Death,Type
7.999885923,Pomeranian
8.599475245,Pomeranian
1.456536619,Pomeranian
2.488706366,Pomeranian
14.64191193,Pomeranian
12.58042437,Pomeranian
0.435204198,Pomeranian
12.43531828,Pomeranian
11.55099247,Pomeranian
14.89938398,Pomeranian
7.654916724,Pomeranian
7.655030801,Pomeranian
9.106091718,Pomeranian
10.03422313,Pomeranian
10.18469085,Pomeranian
4.112137805,Pomeranian
9.998631075,Pomeranian
10.35728953,Pomeranian
11.99856453,Pomeranian
5.73020762,Pomeranian
12.75838467,Pomeranian
0.246292494,Pomeranian
0.9636094,Pomeranian
1.256559434,Pomeranian
5.596052932,Pomeranian
6.001368925,Pomeranian
8.109399954,Pomeranian
8.949920146,Pomeranian
9.127880447,Pomeranian
9.363449692,Pomeranian
10.32169747,Pomeranian
10.71047228,Pomeranian
10.83641342,Pomeranian
11.26066621,Pomeranian
11.80549852,Pomeranian
13.43999544,Pomeranian
13.4974903,Pomeranian
16.02190281,Pomeranian
18.21492129,Pomeranian
18.98414328,Pomeranian
6.885580653,Pomeranian
11.69609856,Pomeranian
13.21549167,Pomeranian
0.178148433,Pomeranian
3.006160164,Pomeranian
0.930869268,Pomeranian
13.50308008,Pomeranian
15.63301392,Pomeranian
13.0294319,Pomeranian
13.00479124,Pomeranian
0.30378736,Pomeranian
0.744581337,Pomeranian
9.817818846,Pomeranian
12.02178873,Pomeranian
13.11430527,Pomeranian
8.703627652,Pomeranian
10.38466804,Pomeranian
4.752908966,Pomeranian
13.28952772,Pomeranian
11.60574949,Pomeranian
11.10746064,Pomeranian
0.142254164,Pomeranian
0.166894821,Pomeranian
10.86379192,Pomeranian
9.987565594,Pomeranian
14.33264887,Pomeranian
14.38193018,Pomeranian
9.199064568,Pomeranian
1.686402008,Pomeranian
4.52019165,Pomeranian
0.169632672,Pomeranian
0.68434862,Pomeranian
9.067761807,Pomeranian
16.45722108,Pomeranian
9.056696327,Pomeranian
15.07734428,Pomeranian
15.32637463,Pomeranian
6.00673055,Pomeranian
11.68229523,Pomeranian
10.83082364,Pomeranian
8.076431668,Pomeranian
10.97319188,Pomeranian
