Age of Death,Type
11.63027607,Pug
2.849988592,Pug
9.42642026,Pug
13.55772302,Pug
15.04449008,Pug
9.708418891,Pug
10.4421629,Pug
12.09308693,Pug
12.12856491,Pug
0.238193018,Pug
1.196326717,Pug
5.001939311,Pug
3.115560119,Pug
10.8718914,Pug
3.20054757,Pug
3.622062514,Pug
4.525667351,Pug
12.64613279,Pug
6.513347023,Pug
7.767168606,Pug
11.00068446,Pug
0.008099475,Pug
0.030116359,Pug
2.310746064,Pug
2.32991102,Pug
8.717316906,Pug
8.865160849,Pug
10.76237737,Pug
11.11556012,Pug
11.82477755,Pug
11.906799,Pug
12.0,Pug
13.00205339,Pug
13.00467716,Pug
0.20807666,Pug
4.876112252,Pug
3.353867214,Pug
6.614419347,Pug
5.872575861,Pug
8.380447182,Pug
10.24218572,Pug
6.362765229,Pug
10.20944559,Pug
11.59742186,Pug
12.39687429,Pug
4.752794889,Pug
0.167008898,Pug
0.698037874,Pug
0.908852384,Pug
0.919917864,Pug
0.990987908,Pug
1.078599133,Pug
1.475587497,Pug
2.062049047,Pug
2.119096509,Pug
2.124458134,Pug
2.173853525,Pug
3.173169062,Pug
3.382626309,Pug
3.780971937,Pug
4.432580424,Pug
4.572096737,Pug
4.917180014,Pug
5.056696327,Pug
5.270248688,Pug
5.311430527,Pug
6.151836642,Pug
6.617271275,Pug
7.000570386,Pug
8.161419119,Pug
8.31211499,Pug
8.662445813,Pug
8.925279489,Pug
9.004690186,Pug
9.300365047,Pug
9.500342231,Pug
9.582363678,Pug
9.596167009,Pug
10.00125485,Pug
10.81439653,Pug
11.35375314,Pug
11.39493498,Pug
11.73157655,Pug
11.80287474,Pug
11.97809719,Pug
12.36687201,Pug
12.48448551,Pug
12.73100616,Pug
12.80766598,Pug
13.16358658,Pug
13.36881132,Pug
14.32432124,Pug
14.40109514,Pug
4.295573808,Pug
14.365389,Pug
11.59194616,Pug
0.525553274,Pug
3.947980835,Pug
10.84177504,Pug
6.819872234,Pug
8.85957107,Pug
10.80892083,Pug
9.475701574,Pug
12.68982432,Pug
10.25039927,Pug
2.726785307,Pug
11.19495779,Pug
2.069701118,Pug
2.020533881,Pug
14.00125485,Pug
10.23944787,Pug
0.27652293,Pug
10.83915127,Pug
11.98619667,Pug
8.504275135,Pug
3.737052247,Pug
4.703627652,Pug
5.672712754,Pug
9.149783253,Pug
15.59194616,Pug
4.191649555,Pug
6.570841889,Pug
13.54403377,Pug
3.660392425,Pug
9.253821583,Pug
0.00598439,Pug
10.82819986,Pug
11.60563541,Pug
6.499543692,Pug
10.05601186,Pug
11.25530459,Pug
16.12594114,Pug
6.488706366,Pug
7.550878394,Pug
7.893223819,Pug
8.262719598,Pug
8.459958932,Pug
9.152521104,Pug
9.847935204,Pug
10.19016655,Pug
11.09639516,Pug
12.93896874,Pug
14.25598905,Pug
0.194387406,Pug
0.331279945,Pug
0.331279945,Pug
0.183436003,Pug
1.667237052,Pug
10.52966005,Pug
0.084759297,Pug
3.534565366,Pug
7.638489619,Pug
10.83641342,Pug
12.64065708,Pug
13.63997262,Pug
14.03969884,Pug
15.52612366,Pug
4.955395848,Pug
8.982774355,Pug
4.752794889,Pug
5.086812685,Pug
6.015058179,Pug
7.93155373,Pug
9.946497833,Pug
2.266826375,Pug
2.266940452,Pug
2.277891855,Pug
7.624914442,Pug
8.065594342,Pug
10.20385581,Pug
0.81565138,Pug
1.325119781,Pug
3.452315765,Pug
5.015742642,Pug
8.0957107,Pug
8.848733744,Pug
9.910905772,Pug
9.9137577,Pug
8.9636094,Pug
9.910905772,Pug
9.577002053,Pug
8.344969199,Pug
10.48323066,Pug
10.95676477,Pug
8.380447182,Pug
2.535249829,Pug
11.8519279,Pug
6.565366188,Pug
0.188911704,Pug
7.657654574,Pug
10.42014602,Pug
9.073123431,Pug
10.22861054,Pug
2.266826375,Pug
12.38318503,Pug
9.631644992,Pug
