Age of Death,Type
3.797284965,Rottweiler
4.804814054,Rottweiler
5.021104266,Rottweiler
6.288729181,Rottweiler
6.997946612,Rottweiler
8.205338809,Rottweiler
9.188113164,Rottweiler
9.571412275,Rottweiler
10.00136893,Rottweiler
10.05886379,Rottweiler
10.68583162,Rottweiler
12.88980151,Rottweiler
13.5633128,Rottweiler
15.45242984,Rottweiler
11.00057039,Rottweiler
0.747433265,Rottweiler
1.119666895,Rottweiler
1.568674424,Rottweiler
2.01779603,Rottweiler
2.885580653,Rottweiler
3.359228839,Rottweiler
3.958818161,Rottweiler
4.079283596,Rottweiler
5.681040383,Rottweiler
6.360027379,Rottweiler
6.896532056,Rottweiler
7.000570386,Rottweiler
7.36470454,Rottweiler
9.35523614,Rottweiler
1.815195072,Rottweiler
8.962391849,Rottweiler
6.59810632,Rottweiler
8.774811773,Rottweiler
6.896646133,Rottweiler
9.609742186,Rottweiler
4.509240246,Rottweiler
5.713894593,Rottweiler
8.076545745,Rottweiler
8.960985626,Rottweiler
10.57905544,Rottweiler
4.027264431,Rottweiler
6.368240931,Rottweiler
6.852726443,Rottweiler
6.866529774,Rottweiler
7.633013917,Rottweiler
7.885010267,Rottweiler
7.972507415,Rottweiler
8.580424367,Rottweiler
8.610426648,Rottweiler
8.728154232,Rottweiler
8.804928131,Rottweiler
8.870522473,Rottweiler
10.01220625,Rottweiler
10.11076888,Rottweiler
10.14088524,Rottweiler
10.60095825,Rottweiler
10.62537075,Rottweiler
10.9985131,Rottweiler
14.31074606,Rottweiler
10.94592745,Rottweiler
11.00068446,Rottweiler
12.02464066,Rottweiler
12.16974675,Rottweiler
5.700205339,Rottweiler
10.00136893,Rottweiler
11.61943874,Rottweiler
1.352498289,Rottweiler
6.822610084,Rottweiler
6.932238193,Rottweiler
7.382233123,Rottweiler
7.389345197,Rottweiler
7.427789185,Rottweiler
7.468856947,Rottweiler
7.504449008,Rottweiler
7.961556012,Rottweiler
7.986196669,Rottweiler
8.259981748,Rottweiler
8.468058407,Rottweiler
8.541980379,Rottweiler
8.544832307,Rottweiler
8.78005932,Rottweiler
9.037645448,Rottweiler
9.212867899,Rottweiler
9.218229523,Rottweiler
9.264887064,Rottweiler
9.290569055,Rottweiler
9.79865389,Rottweiler
9.845197353,Rottweiler
10.00125485,Rottweiler
10.03137121,Rottweiler
10.06148757,Rottweiler
10.17921515,Rottweiler
10.36550308,Rottweiler
10.43942505,Rottweiler
10.8828428,Rottweiler
10.99235683,Rottweiler
11.00616016,Rottweiler
11.06365503,Rottweiler
11.13472507,Rottweiler
11.21697467,Rottweiler
11.32089893,Rottweiler
11.321013,Rottweiler
11.39493498,Rottweiler
11.51540041,Rottweiler
11.93155373,Rottweiler
11.99894232,Rottweiler
11.99988592,Rottweiler
13.10597764,Rottweiler
13.32238193,Rottweiler
13.4755875,Rottweiler
14.09981748,Rottweiler
14.73499886,Rottweiler
15.00068446,Rottweiler
6.997946612,Rottweiler
7.778120009,Rottweiler
10.13004791,Rottweiler
11.81930185,Rottweiler
10.24766142,Rottweiler
4.509240246,Rottweiler
8.917180014,Rottweiler
10.16563997,Rottweiler
11.51802418,Rottweiler
7.301848049,Rottweiler
11.72073922,Rottweiler
