Age of Death,Type
4.0,Rottweiller
8.188911704,Rottweiller
9.333333333,Rottweiller
8.043691535,Rottweiller
0.780287474,Rottweiller
8.402464066,Rottweiller
10.74332649,Rottweiller
8.364020078,Rottweiller
11.9341775,Rottweiller
14.00125485,Rottweiller
8.30378736,Rottweiller
12.01916496,Rottweiller
8.44341775,Rottweiller
10.55430071,Rottweiller
11.05544148,Rottweiller
9.253935661,Rottweiller
11.96988364,Rottweiller
9.001939311,Rottweiller
10.75427789,Rottweiller
14.47227926,Rottweiller
6.973305955,Rottweiller
7.613848962,Rottweiller
7.737052247,Rottweiller
7.79192334,Rottweiller
8.276408852,Rottweiller
10.00136893,Rottweiller
10.00136893,Rottweiller
10.58167922,Rottweiller
10.66655259,Rottweiller
10.68571755,Rottweiller
11.00057039,Rottweiller
11.35660507,Rottweiller
11.70967374,Rottweiller
12.00262377,Rottweiller
12.32569017,Rottweiller
13.03479352,Rottweiller
13.71937029,Rottweiller
7.550878394,Rottweiller
7.67681953,Rottweiller
3.529089665,Rottweiller
5.62343144,Rottweiller
6.001368925,Rottweiller
6.012206251,Rottweiller
6.784394251,Rottweiller
7.123887748,Rottweiller
7.942391056,Rottweiller
9.859000684,Rottweiller
10.28599133,Rottweiller
11.00045631,Rottweiller
11.00342231,Rottweiller
11.52361396,Rottweiller
11.58658453,Rottweiller
11.99977185,Rottweiller
12.27926078,Rottweiller
12.67339722,Rottweiller
12.89253936,Rottweiller
12.94729637,Rottweiller
13.02110427,Rottweiller
15.69336071,Rottweiller
8.985398129,Rottweiller
9.42642026,Rottweiller
7.430527036,Rottweiller
7.052589551,Rottweiller
7.986310746,Rottweiller
7.430412959,Rottweiller
10.03410906,Rottweiller
8.574834588,Rottweiller
9.168948209,Rottweiller
8.6954141,Rottweiller
9.650809948,Rottweiller
10.55703856,Rottweiller
11.60015971,Rottweiller
10.091718,Rottweiller
12.62422998,Rottweiller
9.303102898,Rottweiller
9.125142596,Rottweiller
11.74264203,Rottweiller
8.654346338,Rottweiller
11.87405886,Rottweiller
12.36687201,Rottweiller
10.13267169,Rottweiller
4.68708647,Rottweiller
9.763175907,Rottweiller
0.89516313,Rottweiller
13.8315081,Rottweiller
4.202486881,Rottweiller
10.31348392,Rottweiller
9.995779147,Rottweiller
8.856947296,Rottweiller
6.964864248,Rottweiller
10.72678531,Rottweiller
10.49144422,Rottweiller
9.962924937,Rottweiller
8.027264431,Rottweiller
8.637805156,Rottweiller
11.78644764,Rottweiller
8.854095368,Rottweiller
8.547570157,Rottweiller
9.289527721,Rottweiller
10.65833904,Rottweiller
11.09091946,Rottweiller
9.6590235,Rottweiller
11.52908966,Rottweiller
11.85489391,Rottweiller
15.55373032,Rottweiller
10.32443532,Rottweiller
10.12731006,Rottweiller
11.54004107,Rottweiller
14.5378736,Rottweiller
8.210814511,Rottweiller
11.99988592,Rottweiller
4.651608487,Rottweiller
10.0807666,Rottweiller
11.84930413,Rottweiller
12.36128223,Rottweiller
11.94512891,Rottweiller
11.99988592,Rottweiller
6.581679215,Rottweiller
10.74058864,Rottweiller
