Age of Death,Type
9.023956194,Rough Collie
13.93007073,Rough Collie
12.41603924,Rough Collie
5.571526352,Rough Collie
8.558521561,Rough Collie
11.89869952,Rough Collie
11.92048825,Rough Collie
12.48733744,Rough Collie
12.93634497,Rough Collie
12.88694958,Rough Collie
12.98551221,Rough Collie
2.918548939,Rough Collie
4.34770705,Rough Collie
9.94934976,Rough Collie
10.28872918,Rough Collie
11.26899384,Rough Collie
11.24150125,Rough Collie
11.80561259,Rough Collie
11.29637235,Rough Collie
13.27036277,Rough Collie
13.5687885,Rough Collie
12.05738079,Rough Collie
12.70910335,Rough Collie
13.55224732,Rough Collie
14.29694273,Rough Collie
14.35455168,Rough Collie
10.50501939,Rough Collie
13.45653662,Rough Collie
14.05874971,Rough Collie
8.005361624,Rough Collie
11.53992699,Rough Collie
10.42847365,Rough Collie
12.22712754,Rough Collie
10.72952316,Rough Collie
13.47296372,Rough Collie
9.295003422,Rough Collie
12.6241159,Rough Collie
