Age of Death,Type
12.0,Samoyed
11.98345882,Samoyed
13.39345197,Samoyed
9.212753822,Samoyed
11.64122747,Samoyed
11.69324663,Samoyed
11.86573123,Samoyed
12.32032854,Samoyed
14.17659138,Samoyed
16.09844855,Samoyed
12.51460187,Samoyed
0.008099475,Samoyed
3.517910107,Samoyed
13.27298654,Samoyed
13.33880903,Samoyed
13.94934976,Samoyed
15.00057039,Samoyed
2.614533425,Samoyed
11.25519051,Samoyed
12.93896874,Samoyed
12.02737851,Samoyed
10.39014374,Samoyed
13.62616929,Samoyed
14.66119097,Samoyed
8.043805613,Samoyed
14.98425736,Samoyed
11.52349989,Samoyed
12.273671,Samoyed
12.93634497,Samoyed
14.94307552,Samoyed
11.96167009,Samoyed
4.848733744,Samoyed
