Age of Death,Type
9.116929044,Schnauzer
12.00809948,Schnauzer
7.928701802,Schnauzer
13.45927447,Schnauzer
7.890371891,Schnauzer
16.02452658,Schnauzer
13.01289071,Schnauzer
10.64750171,Schnauzer
14.80618298,Schnauzer
14.89390828,Schnauzer
15.43600274,Schnauzer
15.55373032,Schnauzer
9.338809035,Schnauzer
12.22986539,Schnauzer
10.39824321,Schnauzer
10.49954369,Schnauzer
15.87120694,Schnauzer
18.34074835,Schnauzer
12.55030801,Schnauzer
15.18948209,Schnauzer
5.629021218,Schnauzer
9.618069815,Schnauzer
3.786447639,Schnauzer
10.29694273,Schnauzer
8.919803787,Schnauzer
10.09981748,Schnauzer
8.380447182,Schnauzer
13.7522245,Schnauzer
10.7761807,Schnauzer
11.39219713,Schnauzer
15.5837326,Schnauzer
16.72541638,Schnauzer
13.07859913,Schnauzer
0.191535478,Schnauzer
10.10814511,Schnauzer
11.78359571,Schnauzer
12.55019393,Schnauzer
11.98608259,Schnauzer
13.80412959,Schnauzer
9.618069815,Schnauzer
11.18685832,Schnauzer
11.90691307,Schnauzer
15.47421857,Schnauzer
11.00068446,Schnauzer
