Age of Death,Type
15.15662788,Shetland Sheepdog
12.49281314,Shetland Sheepdog
10.7980835,Shetland Sheepdog
14.56525211,Shetland Sheepdog
11.50159708,Shetland Sheepdog
12.9636094,Shetland Sheepdog
11.08555784,Shetland Sheepdog
13.09514031,Shetland Sheepdog
13.88364134,Shetland Sheepdog
12.55304586,Shetland Sheepdog
8.44341775,Shetland Sheepdog
9.612594114,Shetland Sheepdog
10.42288387,Shetland Sheepdog
10.6939311,Shetland Sheepdog
10.8718914,Shetland Sheepdog
13.57152635,Shetland Sheepdog
14.10803103,Shetland Sheepdog
17.00741501,Shetland Sheepdog
12.93623089,Shetland Sheepdog
16.05475702,Shetland Sheepdog
13.67282683,Shetland Sheepdog
16.39687429,Shetland Sheepdog
13.12799452,Shetland Sheepdog
13.39071412,Shetland Sheepdog
13.63438284,Shetland Sheepdog
9.941022131,Shetland Sheepdog
8.344855122,Shetland Sheepdog
13.2347707,Shetland Sheepdog
9.626283368,Shetland Sheepdog
11.08829569,Shetland Sheepdog
13.95744924,Shetland Sheepdog
7.033424595,Shetland Sheepdog
17.86710016,Shetland Sheepdog
10.10540726,Shetland Sheepdog
11.7452658,Shetland Sheepdog
12.32842802,Shetland Sheepdog
14.95676477,Shetland Sheepdog
14.3380105,Shetland Sheepdog
13.17727584,Shetland Sheepdog
7.372918093,Shetland Sheepdog
10.49680584,Shetland Sheepdog
15.50433493,Shetland Sheepdog
