Age of Death,Type
13.09787817,Shih-tzu
15.32363678,Shih-tzu
10.54061145,Shih-tzu
14.19301848,Shih-tzu
15.69062286,Shih-tzu
14.26694045,Shih-tzu
7.780971937,Shih-tzu
13.57962583,Shih-tzu
11.55646817,Shih-tzu
7.37303217,Shih-tzu
4.41615332,Shih-tzu
2.009582478,Shih-tzu
13.94387406,Shih-tzu
13.5797399,Shih-tzu
13.14168378,Shih-tzu
12.01083733,Shih-tzu
8.446269678,Shih-tzu
5.930070728,Shih-tzu
8.774811773,Shih-tzu
5.856148757,Shih-tzu
11.51813826,Shih-tzu
11.17316906,Shih-tzu
12.47638604,Shih-tzu
14.15468857,Shih-tzu
12.18332193,Shih-tzu
17.37154917,Shih-tzu
9.998631075,Shih-tzu
12.81314168,Shih-tzu
19.88763404,Shih-tzu
12.46532056,Shih-tzu
2.978667579,Shih-tzu
11.54277892,Shih-tzu
15.00330824,Shih-tzu
11.86310746,Shih-tzu
15.32375086,Shih-tzu
6.29705681,Shih-tzu
13.42083048,Shih-tzu
10.7158339,Shih-tzu
12.94170659,Shih-tzu
2.562628337,Shih-tzu
12.71720283,Shih-tzu
15.06901666,Shih-tzu
16.18058407,Shih-tzu
11.99988592,Shih-tzu
8.238193018,Shih-tzu
12.25735797,Shih-tzu
15.23054985,Shih-tzu
1.872689938,Shih-tzu
15.11019849,Shih-tzu
13.05122063,Shih-tzu
14.98140543,Shih-tzu
