Age of Death,Type
10.94855122,Springer Spaniel X
15.51802418,Springer Spaniel X
11.48516997,Springer Spaniel X
5.524868811,Springer Spaniel X
13.82888433,Springer Spaniel X
14.59263062,Springer Spaniel X
15.51802418,Springer Spaniel X
10.70499658,Springer Spaniel X
10.8773671,Springer Spaniel X
15.84371435,Springer Spaniel X
16.10677618,Springer Spaniel X
4.344855122,Springer Spaniel X
5.086812685,Springer Spaniel X
5.429044034,Springer Spaniel X
10.26408852,Springer Spaniel X
12.73089208,Springer Spaniel X
7.991786448,Springer Spaniel X
15.46326717,Springer Spaniel X
9.519507187,Springer Spaniel X
15.90132329,Springer Spaniel X
9.086926762,Springer Spaniel X
7.983458818,Springer Spaniel X
0.421514944,Springer Spaniel X
5.144307552,Springer Spaniel X
10.30241843,Springer Spaniel X
6.327059092,Springer Spaniel X
11.77275838,Springer Spaniel X
9.122404746,Springer Spaniel X
15.3045859,Springer Spaniel X
