Age of Death,Type
2.537873603,Sprocker
2.967716176,Sprocker
8.325690167,Sprocker
11.6386037,Sprocker
12.77207392,Sprocker
2.767853069,Sprocker
14.48870637,Sprocker
5.691877709,Sprocker
10.65560119,Sprocker
10.93486197,Sprocker
11.19221994,Sprocker
14.36265115,Sprocker
9.505817933,Sprocker
11.99988592,Sprocker
5.108715492,Sprocker
10.95402692,Sprocker
2.636436231,Sprocker
10.59548255,Sprocker
12.23807894,Sprocker
12.51186402,Sprocker
13.00467716,Sprocker
11.08818161,Sprocker
8.662445813,Sprocker
