Age of Death,Type
6.855464294,Staffordshire Bull Terrier X
7.266255989,Staffordshire Bull Terrier X
9.226557153,Staffordshire Bull Terrier X
9.492128679,Staffordshire Bull Terrier X
10.13278576,Staffordshire Bull Terrier X
10.92128679,Staffordshire Bull Terrier X
15.06901666,Staffordshire Bull Terrier X
6.001254848,Staffordshire Bull Terrier X
12.28188455,Staffordshire Bull Terrier X
14.03410906,Staffordshire Bull Terrier X
1.503080082,Staffordshire Bull Terrier X
1.574264203,Staffordshire Bull Terrier X
1.596167009,Staffordshire Bull Terrier X
2.108031029,Staffordshire Bull Terrier X
2.836413415,Staffordshire Bull Terrier X
2.896646133,Staffordshire Bull Terrier X
3.000570386,Staffordshire Bull Terrier X
3.074492357,Staffordshire Bull Terrier X
3.375655943,Staffordshire Bull Terrier X
3.564681725,Staffordshire Bull Terrier X
4.19701118,Staffordshire Bull Terrier X
4.448893452,Staffordshire Bull Terrier X
5.116929044,Staffordshire Bull Terrier X
5.188113164,Staffordshire Bull Terrier X
5.475701574,Staffordshire Bull Terrier X
5.837097878,Staffordshire Bull Terrier X
6.127195984,Staffordshire Bull Terrier X
7.696098563,Staffordshire Bull Terrier X
8.0,Staffordshire Bull Terrier X
9.87816564,Staffordshire Bull Terrier X
10.0971937,Staffordshire Bull Terrier X
14.16278804,Staffordshire Bull Terrier X
6.532511978,Staffordshire Bull Terrier X
0.574948665,Staffordshire Bull Terrier X
4.377823409,Staffordshire Bull Terrier X
9.492128679,Staffordshire Bull Terrier X
16.48448551,Staffordshire Bull Terrier X
8.254620123,Staffordshire Bull Terrier X
11.00057039,Staffordshire Bull Terrier X
13.08681269,Staffordshire Bull Terrier X
13.54129592,Staffordshire Bull Terrier X
14.17373945,Staffordshire Bull Terrier X
14.93759982,Staffordshire Bull Terrier X
13.53034451,Staffordshire Bull Terrier X
15.00057039,Staffordshire Bull Terrier X
10.12172028,Staffordshire Bull Terrier X
7.22507415,Staffordshire Bull Terrier X
7.986310746,Staffordshire Bull Terrier X
8.366757928,Staffordshire Bull Terrier X
11.14020078,Staffordshire Bull Terrier X
11.47695642,Staffordshire Bull Terrier X
11.90132329,Staffordshire Bull Terrier X
13.18811316,Staffordshire Bull Terrier X
7.101870865,Staffordshire Bull Terrier X
10.15742642,Staffordshire Bull Terrier X
10.46680356,Staffordshire Bull Terrier X
7.890371891,Staffordshire Bull Terrier X
13.93828428,Staffordshire Bull Terrier X
8.0,Staffordshire Bull Terrier X
9.997261959,Staffordshire Bull Terrier X
12.78576318,Staffordshire Bull Terrier X
13.51950719,Staffordshire Bull Terrier X
13.62069359,Staffordshire Bull Terrier X
11.81097422,Staffordshire Bull Terrier X
12.09297285,Staffordshire Bull Terrier X
13.83424595,Staffordshire Bull Terrier X
14.39550536,Staffordshire Bull Terrier X
16.65708419,Staffordshire Bull Terrier X
16.93634497,Staffordshire Bull Terrier X
17.33880903,Staffordshire Bull Terrier X
6.220396988,Staffordshire Bull Terrier X
10.13004791,Staffordshire Bull Terrier X
11.52776117,Staffordshire Bull Terrier X
11.90691307,Staffordshire Bull Terrier X
12.23807894,Staffordshire Bull Terrier X
12.32032854,Staffordshire Bull Terrier X
12.33675565,Staffordshire Bull Terrier X
12.3693817,Staffordshire Bull Terrier X
12.94444444,Staffordshire Bull Terrier X
13.00193931,Staffordshire Bull Terrier X
13.31964408,Staffordshire Bull Terrier X
