Age of Death,Type
2.228496464,Stafforshire X
2.997946612,Stafforshire X
6.225758613,Stafforshire X
8.495436915,Stafforshire X
9.34690851,Stafforshire X
15.65217887,Stafforshire X
5.620693589,Stafforshire X
12.88158795,Stafforshire X
16.04928131,Stafforshire X
17.97125257,Stafforshire X
4.761008442,Stafforshire X
1.513917408,Stafforshire X
0.161419119,Stafforshire X
15.00057039,Stafforshire X
8.016427105,Stafforshire X
6.992356833,Stafforshire X
12.31747661,Stafforshire X
16.85420945,Stafforshire X
17.79603012,Stafforshire X
10.9650924,Stafforshire X
17.07871321,Stafforshire X
8.878736026,Stafforshire X
15.17305499,Stafforshire X
