Age of Death,Type
13.47296372,Standard Dachshund
12.0,Standard Dachshund
9.459160392,Standard Dachshund
11.87679671,Standard Dachshund
12.36402008,Standard Dachshund
10.02600958,Standard Dachshund
11.54814054,Standard Dachshund
12.53650468,Standard Dachshund
0.755646817,Standard Dachshund
7.805612594,Standard Dachshund
13.14715948,Standard Dachshund
14.99794661,Standard Dachshund
8.61590235,Standard Dachshund
9.516769336,Standard Dachshund
12.28188455,Standard Dachshund
15.99988592,Standard Dachshund
0.333903719,Standard Dachshund
1.62343144,Standard Dachshund
4.785649099,Standard Dachshund
7.999885923,Standard Dachshund
12.678987,Standard Dachshund
13.05658225,Standard Dachshund
13.50570386,Standard Dachshund
13.54118184,Standard Dachshund
13.87816564,Standard Dachshund
13.95482546,Standard Dachshund
16.18058407,Standard Dachshund
17.6480721,Standard Dachshund
18.01779603,Standard Dachshund
14.24492357,Standard Dachshund
17.1470454,Standard Dachshund
11.4880219,Standard Dachshund
12.9745608,Standard Dachshund
13.1470454,Standard Dachshund
1.546885695,Standard Dachshund
8.451631303,Standard Dachshund
13.75496235,Standard Dachshund
13.4865389,Standard Dachshund
11.10746064,Standard Dachshund
8.364134155,Standard Dachshund
12.44353183,Standard Dachshund
15.08281999,Standard Dachshund
12.46532056,Standard Dachshund
4.626853753,Standard Dachshund
7.496121378,Standard Dachshund
12.22165184,Standard Dachshund
13.88090349,Standard Dachshund
12.30104951,Standard Dachshund
8.990987908,Standard Dachshund
16.8678987,Standard Dachshund
10.79249373,Standard Dachshund
17.48117728,Standard Dachshund
13.4072553,Standard Dachshund
11.99726215,Standard Dachshund
14.27503993,Standard Dachshund
14.29158111,Standard Dachshund
3.342801734,Standard Dachshund
9.127880447,Standard Dachshund
11.00878394,Standard Dachshund
5.951973534,Standard Dachshund
10.07243897,Standard Dachshund
13.47296372,Standard Dachshund
11.9341775,Standard Dachshund
11.33185033,Standard Dachshund
11.93965321,Standard Dachshund
14.26408852,Standard Dachshund
5.174537988,Standard Dachshund
14.90748346,Standard Dachshund
12.23819302,Standard Dachshund
12.07665982,Standard Dachshund
4.008213552,Standard Dachshund
12.28473648,Standard Dachshund
