Age of Death,Type
1.73853525,Terrier Cross
11.74537988,Terrier Cross
17.72473192,Terrier Cross
11.17043121,Terrier Cross
10.88021903,Terrier Cross
10.09445585,Terrier Cross
16.08213552,Terrier Cross
18.81987223,Terrier Cross
6.277777778,Terrier Cross
9.489276751,Terrier Cross
9.760323979,Terrier Cross
10.98151951,Terrier Cross
12.15046772,Terrier Cross
16.54209446,Terrier Cross
16.31747661,Terrier Cross
17.46189824,Terrier Cross
14.65833904,Terrier Cross
11.76443076,Terrier Cross
14.83903719,Terrier Cross
12.49828884,Terrier Cross
12.24081679,Terrier Cross
10.49680584,Terrier Cross
11.66860598,Terrier Cross
18.00125485,Terrier Cross
10.52966005,Terrier Cross
17.01289071,Terrier Cross
15.03080082,Terrier Cross
9.229295003,Terrier Cross
10.42299795,Terrier Cross
14.99794661,Terrier Cross
8.569358887,Terrier Cross
8.19701118,Terrier Cross
9.242984257,Terrier Cross
12.13415469,Terrier Cross
