Age of Death,Type
8.747319188,Terrier
15.5618298,Terrier
14.0094684,Terrier
17.18001369,Terrier
9.24287018,Terrier
13.08681269,Terrier
13.87805156,Terrier
11.99167237,Terrier
10.67750399,Terrier
10.73237509,Terrier
12.75564682,Terrier
13.03205567,Terrier
13.81519507,Terrier
13.84804928,Terrier
13.86436231,Terrier
15.12377367,Terrier
15.72621492,Terrier
18.0039927,Terrier
18.47764089,Terrier
21.53855807,Terrier
14.00125485,Terrier
13.27857632,Terrier
13.54950947,Terrier
11.44421629,Terrier
13.98494182,Terrier
14.65023956,Terrier
13.57415013,Terrier
8.843258042,Terrier
8.09297285,Terrier
14.89664613,Terrier
8.353068674,Terrier
10.5982204,Terrier
12.69815195,Terrier
16.01368925,Terrier
17.1251426,Terrier
13.78222679,Terrier
7.805612594,Terrier
10.19301848,Terrier
19.00068446,Terrier
