Age of Death,Type
13.59890486,Tibetan Terrier
12.18332193,Tibetan Terrier
15.98083504,Tibetan Terrier
15.24971481,Tibetan Terrier
14.46121378,Tibetan Terrier
15.69872234,Tibetan Terrier
16.0,Tibetan Terrier
14.89117043,Tibetan Terrier
12.87063655,Tibetan Terrier
11.2223363,Tibetan Terrier
13.18811316,Tibetan Terrier
15.08544376,Tibetan Terrier
14.33253479,Tibetan Terrier
10.71309605,Tibetan Terrier
13.02931782,Tibetan Terrier
13.28120009,Tibetan Terrier
14.63096053,Tibetan Terrier
15.39803337,Tibetan Terrier
16.35854438,Tibetan Terrier
10.98151951,Tibetan Terrier
16.06833219,Tibetan Terrier
9.675564682,Tibetan Terrier
10.88843258,Tibetan Terrier
9.141569701,Tibetan Terrier
10.00125485,Tibetan Terrier
14.00136893,Tibetan Terrier
14.21206936,Tibetan Terrier
15.71241159,Tibetan Terrier
8.950034223,Tibetan Terrier
11.11293634,Tibetan Terrier
5.765799681,Tibetan Terrier
12.18332193,Tibetan Terrier
7.961556012,Tibetan Terrier
5.081336984,Tibetan Terrier
12.93360712,Tibetan Terrier
12.73910564,Tibetan Terrier
11.19221994,Tibetan Terrier
10.3599133,Tibetan Terrier
11.87942049,Tibetan Terrier
6.995094684,Tibetan Terrier
13.72746977,Tibetan Terrier
11.50707278,Tibetan Terrier
12.28736026,Tibetan Terrier
15.34006388,Tibetan Terrier
14.0204198,Tibetan Terrier
13.68366416,Tibetan Terrier
13.44284736,Tibetan Terrier
16.18058407,Tibetan Terrier
16.53924253,Tibetan Terrier
16.16427105,Tibetan Terrier
15.32637463,Tibetan Terrier
13.50034223,Tibetan Terrier
11.37291809,Tibetan Terrier
10.96771618,Tibetan Terrier
11.5673055,Tibetan Terrier
11.88501027,Tibetan Terrier
12.12582706,Tibetan Terrier
16.38877481,Tibetan Terrier
3.622062514,Tibetan Terrier
12.16963267,Tibetan Terrier
14.52156057,Tibetan Terrier
15.94066906,Tibetan Terrier
9.234770705,Tibetan Terrier
13.27298654,Tibetan Terrier
14.22861054,Tibetan Terrier
12.47627196,Tibetan Terrier
14.61179557,Tibetan Terrier
15.50159708,Tibetan Terrier
9.563312799,Tibetan Terrier
13.90543007,Tibetan Terrier
17.8260324,Tibetan Terrier
