Age of Death,Type
8.391512663,Toy Poodle
8.421629021,Toy Poodle
2.578941364,Toy Poodle
7.00593201,Toy Poodle
13.44999544,Toy Poodle
10.79523158,Toy Poodle
12.11225188,Toy Poodle
15.82477755,Toy Poodle
12.14510609,Toy Poodle
14.5269222,Toy Poodle
17.91911932,Toy Poodle
13.92744695,Toy Poodle
18.55156286,Toy Poodle
15.42505133,Toy Poodle
15.83561488,Toy Poodle
6.135409537,Toy Poodle
9.002053388,Toy Poodle
11.76716861,Toy Poodle
12.00821355,Toy Poodle
12.02178873,Toy Poodle
13.34417066,Toy Poodle
14.19564225,Toy Poodle
15.61122519,Toy Poodle
16.0,Toy Poodle
19.227812,Toy Poodle
11.07996806,Toy Poodle
15.8110883,Toy Poodle
16.30926306,Toy Poodle
2.406570842,Toy Poodle
14.15731234,Toy Poodle
15.52635181,Toy Poodle
15.9341775,Toy Poodle
12.21343828,Toy Poodle
14.85010267,Toy Poodle
16.95550992,Toy Poodle
12.50376454,Toy Poodle
13.73568332,Toy Poodle
14.16563997,Toy Poodle
15.7397901,Toy Poodle
16.01083733,Toy Poodle
10.64191193,Toy Poodle
1.034907598,Toy Poodle
15.28542094,Toy Poodle
15.19221994,Toy Poodle
13.69187771,Toy Poodle
16.44889345,Toy Poodle
13.73568332,Toy Poodle
15.74811773,Toy Poodle
17.16358658,Toy Poodle
14.86926762,Toy Poodle
8.314738763,Toy Poodle
10.26135067,Toy Poodle
15.85763176,Toy Poodle
14.60084417,Toy Poodle
10.63369838,Toy Poodle
11.92334018,Toy Poodle
