Age of Death,Type
10.51060917,Weimeraner
6.05065024,Weimeraner
9.483686972,Weimeraner
8.793976728,Weimeraner
13.67830253,Weimeraner
8.692562172,Weimeraner
8.796600502,Weimeraner
2.817134383,Weimeraner
10.28325348,Weimeraner
10.93212412,Weimeraner
12.41603924,Weimeraner
9.456422542,Weimeraner
10.45300023,Weimeraner
12.58316222,Weimeraner
12.70910335,Weimeraner
13.48391513,Weimeraner
13.50022815,Weimeraner
10.96235455,Weimeraner
12.41877709,Weimeraner
4.766484143,Weimeraner
6.726899384,Weimeraner
9.593315081,Weimeraner
10.50228154,Weimeraner
11.75359343,Weimeraner
13.28941364,Weimeraner
13.46201232,Weimeraner
13.77412731,Weimeraner
10.83367556,Weimeraner
10.83903719,Weimeraner
9.341432809,Weimeraner
9.960187086,Weimeraner
13.4974903,Weimeraner
10.92117271,Weimeraner
11.87668264,Weimeraner
11.42767511,Weimeraner
12.13415469,Weimeraner
10.05065024,Weimeraner
10.58715492,Weimeraner
9.738421173,Weimeraner
13.40714123,Weimeraner
12.89242528,Weimeraner
13.68092631,Weimeraner
10.63917408,Weimeraner
12.47353411,Weimeraner
13.13347023,Weimeraner
13.01289071,Weimeraner
11.42767511,Weimeraner
9.820556696,Weimeraner
11.24709103,Weimeraner
12.93908282,Weimeraner
12.10677618,Weimeraner
9.826146475,Weimeraner
8.656970112,Weimeraner
14.81713438,Weimeraner
12.5119781,Weimeraner
13.69472964,Weimeraner
11.51813826,Weimeraner
10.46954141,Weimeraner
