Age of Death,Type
12.0,West Highland White Terrier X
12.09308693,West Highland White Terrier X
7.592060233,West Highland White Terrier X
6.997946612,West Highland White Terrier X
13.28393794,West Highland White Terrier X
15.4002966,West Highland White Terrier X
11.02247319,West Highland White Terrier X
14.89390828,West Highland White Terrier X
11.22245038,West Highland White Terrier X
11.84941821,West Highland White Terrier X
12.22712754,West Highland White Terrier X
15.17305499,West Highland White Terrier X
11.33744011,West Highland White Terrier X
2.693931097,West Highland White Terrier X
6.997946612,West Highland White Terrier X
16.14499201,West Highland White Terrier X
16.65697011,West Highland White Terrier X
9.119666895,West Highland White Terrier X
12.91718001,West Highland White Terrier X
14.04243669,West Highland White Terrier X
9.664613279,West Highland White Terrier X
14.39550536,West Highland White Terrier X
9.716518366,West Highland White Terrier X
10.53524983,West Highland White Terrier X
11.23602555,West Highland White Terrier X
11.47148072,West Highland White Terrier X
16.30104951,West Highland White Terrier X
3.249714807,West Highland White Terrier X
11.68229523,West Highland White Terrier X
13.6590235,West Highland White Terrier X
17.00193931,West Highland White Terrier X
7.999885923,West Highland White Terrier X
