Age of Death,Type
19.0608031,Whippet X
15.84109058,Whippet X
13.32226785,Whippet X
5.990303445,Whippet X
15.75085558,Whippet X
13.41535478,Whippet X
11.00057039,Whippet X
13.00193931,Whippet X
16.83219256,Whippet X
17.77960301,Whippet X
6.428473648,Whippet X
11.78644764,Whippet X
13.1470454,Whippet X
15.84394251,Whippet X
16.00262377,Whippet X
4.24366872,Whippet X
13.77960301,Whippet X
1.470225873,Whippet X
9.538672142,Whippet X
3.570043349,Whippet X
6.006844627,Whippet X
12.89527721,Whippet X
13.42642026,Whippet X
12.8843258,Whippet X
15.02960288,Whippet X
18.29968058,Whippet X
11.23613963,Whippet X
1.275838467,Whippet X
1.949235683,Whippet X
1.686516085,Whippet X
14.68035592,Whippet X
16.72267853,Whippet X
0.328542094,Whippet X
