Age of Death,Type
7.550878394,Whippet
0.495550992,Whippet
2.340748346,Whippet
8.229865389,Whippet
10.47227926,Whippet
14.09981748,Whippet
8.985626283,Whippet
10.75427789,Whippet
12.04928131,Whippet
13.93292266,Whippet
16.93623089,Whippet
5.86710016,Whippet
8.216176135,Whippet
8.418777093,Whippet
10.99235683,Whippet
8.97467488,Whippet
7.173054985,Whippet
12.00262377,Whippet
12.18069815,Whippet
15.12936345,Whippet
8.005361624,Whippet
8.350330824,Whippet
11.99726215,Whippet
12.11761351,Whippet
14.1983801,Whippet
15.14841433,Whippet
15.37565594,Whippet
12.76386037,Whippet
12.82945471,Whippet
17.00193931,Whippet
14.31336984,Whippet
0.878736026,Whippet
1.001939311,Whippet
2.269564225,Whippet
4.298311659,Whippet
8.076659822,Whippet
8.47627196,Whippet
8.980150582,Whippet
9.215491672,Whippet
9.407255305,Whippet
9.911019849,Whippet
10.09981748,Whippet
10.70762035,Whippet
11.28542094,Whippet
11.60289756,Whippet
12.06023272,Whippet
13.2183436,Whippet
13.34143281,Whippet
13.77686516,Whippet
13.88626512,Whippet
13.94387406,Whippet
13.97387634,Whippet
14.00136893,Whippet
14.42835957,Whippet
14.90474561,Whippet
15.4715948,Whippet
4.503764545,Whippet
10.26682637,Whippet
11.11556012,Whippet
11.74537988,Whippet
13.59605293,Whippet
14.51334702,Whippet
9.467373945,Whippet
9.2183436,Whippet
10.00136893,Whippet
1.001939311,Whippet
3.208647045,Whippet
9.221081451,Whippet
10.81713438,Whippet
15.29352042,Whippet
13.79591604,Whippet
13.26477299,Whippet
7.096395163,Whippet
13.54403377,Whippet
9.38250057,Whippet
11.03616245,Whippet
11.16495551,Whippet
11.20876112,Whippet
9.939588625,Whippet
8.051905088,Whippet
7.838352726,Whippet
11.61658681,Whippet
12.90622861,Whippet
14.11076888,Whippet
15.31268538,Whippet
6.088980151,Whippet
7.173169062,Whippet
12.01905088,Whippet
14.00136893,Whippet
12.98277436,Whippet
13.00193931,Whippet
14.32979694,Whippet
8.583048141,Whippet
11.87942049,Whippet
7.000570386,Whippet
14.36550308,Whippet
8.0,Whippet
11.09650924,Whippet
13.69461556,Whippet
9.322267853,Whippet
14.86926762,Whippet
11.10746064,Whippet
13.24560803,Whippet
13.47570157,Whippet
13.94923568,Whippet
14.99602124,Whippet
6.050536162,Whippet
7.452315765,Whippet
14.69666895,Whippet
15.49064568,Whippet
15.99988592,Whippet
13.24287018,Whippet
15.45231577,Whippet
5.27846224,Whippet
9.560460872,Whippet
14.3544376,Whippet
13.93292266,Whippet
13.00205339,Whippet
11.43052704,Whippet
13.85067305,Whippet
12.62137805,Whippet
5.806867442,Whippet
8.919803787,Whippet
1.37976272,Whippet
15.08829569,Whippet
