Age of Death,Type
11.58384668,X Breed
12.53650468,X Breed
13.5687885,X Breed
9.541295916,X Breed
10.03422313,X Breed
7.687770933,X Breed
10.31622177,X Breed
12.01357518,X Breed
13.17989961,X Breed
14.11898243,X Breed
15.21412275,X Breed
16.9690851,X Breed
11.50718686,X Breed
8.763746292,X Breed
11.85204198,X Breed
12.63506731,X Breed
10.15183664,X Breed
10.23682409,X Breed
12.33127995,X Breed
13.66723705,X Breed
14.34074835,X Breed
14.45026238,X Breed
14.46668948,X Breed
15.89037189,X Breed
8.303901437,X Breed
12.090235,X Breed
13.31690623,X Breed
14.58715492,X Breed
14.89105635,X Breed
15.04996578,X Breed
17.26762491,X Breed
17.47296372,X Breed
17.54677162,X Breed
18.02327173,X Breed
18.91581109,X Breed
19.0553274,X Breed
14.85820214,X Breed
15.56741958,X Breed
16.17522245,X Breed
10.70773443,X Breed
11.78644764,X Breed
9.012890714,X Breed
9.639858544,X Breed
10.25039927,X Breed
10.97604381,X Breed
11.41946156,X Breed
11.48516997,X Breed
11.78097194,X Breed
11.95060461,X Breed
12.53102898,X Breed
12.57483459,X Breed
12.6241159,X Breed
13.2128679,X Breed
13.25119781,X Breed
13.41546886,X Breed
13.96577687,X Breed
13.99315537,X Breed
14.14647502,X Breed
14.19301848,X Breed
14.46680356,X Breed
15.12936345,X Breed
15.18126854,X Breed
15.23340178,X Breed
15.44957791,X Breed
15.99988592,X Breed
16.01631303,X Breed
16.34211727,X Breed
16.62137805,X Breed
17.58236368,X Breed
14.10255533,X Breed
14.37097878,X Breed
12.40246407,X Breed
13.99577915,X Breed
16.15879535,X Breed
13.78770249,X Breed
9.62343144,X Breed
8.949920146,X Breed
14.8828428,X Breed
15.18412047,X Breed
15.19507187,X Breed
3.8275154,X Breed
13.99863107,X Breed
14.30800821,X Breed
10.97604381,X Breed
8.221651837,X Breed
9.735797399,X Breed
10.82819986,X Breed
12.62685375,X Breed
12.94992015,X Breed
13.95208761,X Breed
13.22096737,X Breed
10.39002966,X Breed
10.71594798,X Breed
10.00958248,X Breed
13.21001597,X Breed
12.37782341,X Breed
11.30447182,X Breed
14.46668948,X Breed
12.38866073,X Breed
13.28667579,X Breed
10.05053616,X Breed
10.73499886,X Breed
11.48790783,X Breed
14.80618298,X Breed
15.32363678,X Breed
12.32295232,X Breed
14.24218572,X Breed
17.36344969,X Breed
13.38261465,X Breed
14.39824321,X Breed
14.63643623,X Breed
14.73499886,X Breed
17.77675108,X Breed
5.245722108,X Breed
13.65080995,X Breed
9.702829112,X Breed
10.53513575,X Breed
10.12172028,X Breed
14.66655259,X Breed
1.513917408,X Breed
12.41330139,X Breed
14.63917408,X Breed
15.18685832,X Breed
17.50308008,X Breed
14.80892083,X Breed
5.541295916,X Breed
5.905430071,X Breed
10.49144422,X Breed
11.15389003,X Breed
12.678987,X Breed
16.9745608,X Breed
5.990417522,X Breed
8.041067762,X Breed
9.549509468,X Breed
11.20054757,X Breed
13.42630618,X Breed
13.6425964,X Breed
13.5633128,X Breed
13.05395848,X Breed
14.08886607,X Breed
14.84998859,X Breed
16.27652293,X Breed
16.33664157,X Breed
11.02806297,X Breed
7.613848962,X Breed
14.47775496,X Breed
14.90474561,X Breed
12.94992015,X Breed
15.81644992,X Breed
16.55852156,X Breed
12.63506731,X Breed
12.95539585,X Breed
15.11841205,X Breed
12.4352042,X Breed
14.24218572,X Breed
15.07186858,X Breed
14.62000913,X Breed
16.79671458,X Breed
