Age of Death,Type
15.0334246,Yorkshire Terrier
10.40098106,Yorkshire Terrier
12.55030801,Yorkshire Terrier
12.57483459,Yorkshire Terrier
9.67008898,Yorkshire Terrier
12.99931554,Yorkshire Terrier
17.39356605,Yorkshire Terrier
7.898699521,Yorkshire Terrier
11.65229295,Yorkshire Terrier
5.010152863,Yorkshire Terrier
8.834930413,Yorkshire Terrier
11.50159708,Yorkshire Terrier
12.2627196,Yorkshire Terrier
14.14647502,Yorkshire Terrier
14.39002966,Yorkshire Terrier
16.14784394,Yorkshire Terrier
17.28405202,Yorkshire Terrier
8.312000913,Yorkshire Terrier
10.50775724,Yorkshire Terrier
15.25519051,Yorkshire Terrier
10.45300023,Yorkshire Terrier
2.001254848,Yorkshire Terrier
2.165525896,Yorkshire Terrier
4.577686516,Yorkshire Terrier
4.810289756,Yorkshire Terrier
5.327743555,Yorkshire Terrier
6.833561488,Yorkshire Terrier
9.095140315,Yorkshire Terrier
9.828770249,Yorkshire Terrier
9.856148757,Yorkshire Terrier
10.43942505,Yorkshire Terrier
11.96703171,Yorkshire Terrier
12.04928131,Yorkshire Terrier
13.94375998,Yorkshire Terrier
14.0094684,Yorkshire Terrier
14.68024184,Yorkshire Terrier
14.98425736,Yorkshire Terrier
15.00068446,Yorkshire Terrier
16.0109514,Yorkshire Terrier
16.02178873,Yorkshire Terrier
3.496121378,Yorkshire Terrier
9.809605293,Yorkshire Terrier
11.45516769,Yorkshire Terrier
11.84120465,Yorkshire Terrier
12.07118412,Yorkshire Terrier
12.39972621,Yorkshire Terrier
12.67351129,Yorkshire Terrier
13.85900068,Yorkshire Terrier
14.43394935,Yorkshire Terrier
12.82671686,Yorkshire Terrier
7.427675108,Yorkshire Terrier
8.90349076,Yorkshire Terrier
10.28884326,Yorkshire Terrier
10.40645676,Yorkshire Terrier
10.50228154,Yorkshire Terrier
11.94512891,Yorkshire Terrier
12.55840748,Yorkshire Terrier
12.87873603,Yorkshire Terrier
12.90063883,Yorkshire Terrier
13.4701118,Yorkshire Terrier
13.59069131,Yorkshire Terrier
13.71104266,Yorkshire Terrier
14.03410906,Yorkshire Terrier
14.07517682,Yorkshire Terrier
14.12445813,Yorkshire Terrier
14.49133014,Yorkshire Terrier
14.50239562,Yorkshire Terrier
14.58441707,Yorkshire Terrier
14.60095825,Yorkshire Terrier
14.77344285,Yorkshire Terrier
15.17031713,Yorkshire Terrier
15.39493498,Yorkshire Terrier
15.4057723,Yorkshire Terrier
15.42219941,Yorkshire Terrier
15.49338353,Yorkshire Terrier
16.05190509,Yorkshire Terrier
16.93075519,Yorkshire Terrier
17.0568104,Yorkshire Terrier
18.00125485,Yorkshire Terrier
13.26762491,Yorkshire Terrier
11.46052932,Yorkshire Terrier
12.03011636,Yorkshire Terrier
15.64122747,Yorkshire Terrier
15.72062514,Yorkshire Terrier
16.84873374,Yorkshire Terrier
15.99441022,Yorkshire Terrier
10.59536847,Yorkshire Terrier
5.93828428,Yorkshire Terrier
14.26146475,Yorkshire Terrier
14.7103582,Yorkshire Terrier
15.23887748,Yorkshire Terrier
11.04722793,Yorkshire Terrier
14.42835957,Yorkshire Terrier
2.108145106,Yorkshire Terrier
11.25530459,Yorkshire Terrier
15.30994752,Yorkshire Terrier
11.81644992,Yorkshire Terrier
9.294889345,Yorkshire Terrier
11.11556012,Yorkshire Terrier
11.37577002,Yorkshire Terrier
14.42835957,Yorkshire Terrier
15.00057039,Yorkshire Terrier
15.44410221,Yorkshire Terrier
13.33048141,Yorkshire Terrier
16.06297057,Yorkshire Terrier
0.114989733,Yorkshire Terrier
7.887634041,Yorkshire Terrier
8.700889802,Yorkshire Terrier
9.601528633,Yorkshire Terrier
9.744010951,Yorkshire Terrier
9.998631075,Yorkshire Terrier
10.37097878,Yorkshire Terrier
11.44969199,Yorkshire Terrier
12.03285421,Yorkshire Terrier
12.12594114,Yorkshire Terrier
12.3449692,Yorkshire Terrier
12.42710472,Yorkshire Terrier
12.72279261,Yorkshire Terrier
12.92527949,Yorkshire Terrier
13.47284965,Yorkshire Terrier
13.67830253,Yorkshire Terrier
13.70009126,Yorkshire Terrier
13.74401095,Yorkshire Terrier
14.08612822,Yorkshire Terrier
14.58441707,Yorkshire Terrier
14.66119097,Yorkshire Terrier
14.69130732,Yorkshire Terrier
15.00057039,Yorkshire Terrier
15.15936573,Yorkshire Terrier
15.20054757,Yorkshire Terrier
15.29078257,Yorkshire Terrier
15.89858544,Yorkshire Terrier
15.99988592,Yorkshire Terrier
15.99988592,Yorkshire Terrier
16.22724162,Yorkshire Terrier
6.195642254,Yorkshire Terrier
7.92048825,Yorkshire Terrier
10.09993155,Yorkshire Terrier
10.17921515,Yorkshire Terrier
11.49897331,Yorkshire Terrier
11.53445129,Yorkshire Terrier
12.10939995,Yorkshire Terrier
12.22712754,Yorkshire Terrier
12.31200091,Yorkshire Terrier
12.42162902,Yorkshire Terrier
12.56947296,Yorkshire Terrier
12.58042437,Yorkshire Terrier
12.59137577,Yorkshire Terrier
12.6022131,Yorkshire Terrier
13.08407483,Yorkshire Terrier
13.35238421,Yorkshire Terrier
13.67008898,Yorkshire Terrier
13.80412959,Yorkshire Terrier
14.08886607,Yorkshire Terrier
14.09160392,Yorkshire Terrier
14.3599133,Yorkshire Terrier
14.45037645,Yorkshire Terrier
14.57072781,Yorkshire Terrier
14.66107689,Yorkshire Terrier
14.73511294,Yorkshire Terrier
15.044376,Yorkshire Terrier
15.67955738,Yorkshire Terrier
16.12582706,Yorkshire Terrier
16.42151494,Yorkshire Terrier
18.21765914,Yorkshire Terrier
19.8110883,Yorkshire Terrier
0.005475702,Yorkshire Terrier
0.251882272,Yorkshire Terrier
2.272416153,Yorkshire Terrier
2.630960529,Yorkshire Terrier
6.584531143,Yorkshire Terrier
9.004677162,Yorkshire Terrier
9.563312799,Yorkshire Terrier
10.55977641,Yorkshire Terrier
10.7871321,Yorkshire Terrier
10.89926991,Yorkshire Terrier
11.01984942,Yorkshire Terrier
11.19780972,Yorkshire Terrier
11.33744011,Yorkshire Terrier
11.60574949,Yorkshire Terrier
11.8220397,Yorkshire Terrier
11.93691535,Yorkshire Terrier
12.03000228,Yorkshire Terrier
12.07380789,Yorkshire Terrier
12.07939767,Yorkshire Terrier
12.34485512,Yorkshire Terrier
12.44341775,Yorkshire Terrier
12.94182067,Yorkshire Terrier
12.97467488,Yorkshire Terrier
13.09514031,Yorkshire Terrier
13.10038786,Yorkshire Terrier
13.10609172,Yorkshire Terrier
13.23739448,Yorkshire Terrier
13.27834816,Yorkshire Terrier
13.3798768,Yorkshire Terrier
13.53034451,Yorkshire Terrier
13.57962583,Yorkshire Terrier
13.60974219,Yorkshire Terrier
13.77948893,Yorkshire Terrier
13.89447867,Yorkshire Terrier
13.93828428,Yorkshire Terrier
13.99041752,Yorkshire Terrier
13.99863107,Yorkshire Terrier
14.01779603,Yorkshire Terrier
14.09434178,Yorkshire Terrier
14.31336984,Yorkshire Terrier
14.55977641,Yorkshire Terrier
14.66381474,Yorkshire Terrier
14.77332877,Yorkshire Terrier
14.81451061,Yorkshire Terrier
14.8883185,Yorkshire Terrier
14.93212412,Yorkshire Terrier
14.9486653,Yorkshire Terrier
15.17316906,Yorkshire Terrier
15.30447182,Yorkshire Terrier
15.50433493,Yorkshire Terrier
15.58099475,Yorkshire Terrier
15.72062514,Yorkshire Terrier
15.73157655,Yorkshire Terrier
15.99988592,Yorkshire Terrier
16.22724162,Yorkshire Terrier
16.23260324,Yorkshire Terrier
16.27640885,Yorkshire Terrier
16.45448323,Yorkshire Terrier
16.58578599,Yorkshire Terrier
16.73636778,Yorkshire Terrier
16.80481405,Yorkshire Terrier
17.00193931,Yorkshire Terrier
17.04574492,Yorkshire Terrier
17.06764773,Yorkshire Terrier
17.28678987,Yorkshire Terrier
17.38809035,Yorkshire Terrier
17.40999316,Yorkshire Terrier
17.75758613,Yorkshire Terrier
17.79055441,Yorkshire Terrier
17.99863107,Yorkshire Terrier
18.08612822,Yorkshire Terrier
18.95950262,Yorkshire Terrier
0.166894821,Yorkshire Terrier
2.756901666,Yorkshire Terrier
11.96155601,Yorkshire Terrier
15.01425964,Yorkshire Terrier
17.72210815,Yorkshire Terrier
17.724846,Yorkshire Terrier
12.73362993,Yorkshire Terrier
11.43326489,Yorkshire Terrier
10.38740589,Yorkshire Terrier
16.39961214,Yorkshire Terrier
14.17373945,Yorkshire Terrier
15.85751768,Yorkshire Terrier
19.95334246,Yorkshire Terrier
11.61122519,Yorkshire Terrier
13.03753137,Yorkshire Terrier
13.6535478,Yorkshire Terrier
14.02589551,Yorkshire Terrier
14.24492357,Yorkshire Terrier
14.78986995,Yorkshire Terrier
14.88558065,Yorkshire Terrier
14.98961898,Yorkshire Terrier
15.00342231,Yorkshire Terrier
15.00878394,Yorkshire Terrier
15.23613963,Yorkshire Terrier
15.82466347,Yorkshire Terrier
16.22165184,Yorkshire Terrier
17.00193931,Yorkshire Terrier
17.01848049,Yorkshire Terrier
17.4974903,Yorkshire Terrier
18.00136893,Yorkshire Terrier
5.28678987,Yorkshire Terrier
8.949920146,Yorkshire Terrier
9.295003422,Yorkshire Terrier
9.327857632,Yorkshire Terrier
10.04243669,Yorkshire Terrier
10.28325348,Yorkshire Terrier
10.7761807,Yorkshire Terrier
12.09308693,Yorkshire Terrier
12.32580424,Yorkshire Terrier
12.53114305,Yorkshire Terrier
12.59685147,Yorkshire Terrier
12.73648186,Yorkshire Terrier
12.76933607,Yorkshire Terrier
13.55509925,Yorkshire Terrier
14.42014602,Yorkshire Terrier
8.531028976,Yorkshire Terrier
12.69530002,Yorkshire Terrier
12.77743555,Yorkshire Terrier
13.77675108,Yorkshire Terrier
16.79933835,Yorkshire Terrier
0.021788729,Yorkshire Terrier
0.167008898,Yorkshire Terrier
0.249144422,Yorkshire Terrier
1.199178645,Yorkshire Terrier
1.921857175,Yorkshire Terrier
1.932922656,Yorkshire Terrier
3.12103582,Yorkshire Terrier
3.427789185,Yorkshire Terrier
3.95608031,Yorkshire Terrier
4.561145334,Yorkshire Terrier
4.722678531,Yorkshire Terrier
4.988250057,Yorkshire Terrier
5.01026694,Yorkshire Terrier
5.018366416,Yorkshire Terrier
5.029317819,Yorkshire Terrier
5.327857632,Yorkshire Terrier
5.604266484,Yorkshire Terrier
5.648186174,Yorkshire Terrier
5.995779147,Yorkshire Terrier
7.030686744,Yorkshire Terrier
7.10997034,Yorkshire Terrier
7.312799452,Yorkshire Terrier
7.999885923,Yorkshire Terrier
8.032740132,Yorkshire Terrier
8.076659822,Yorkshire Terrier
8.273671002,Yorkshire Terrier
8.287246178,Yorkshire Terrier
8.344969199,Yorkshire Terrier
8.610540726,Yorkshire Terrier
8.75553274,Yorkshire Terrier
9.056810404,Yorkshire Terrier
9.253935661,Yorkshire Terrier
9.283937942,Yorkshire Terrier
9.286675793,Yorkshire Terrier
9.289527721,Yorkshire Terrier
9.368811316,Yorkshire Terrier
9.464636094,Yorkshire Terrier
9.500228154,Yorkshire Terrier
9.500342231,Yorkshire Terrier
9.648186174,Yorkshire Terrier
9.80698152,Yorkshire Terrier
10.00125485,Yorkshire Terrier
10.04506046,Yorkshire Terrier
10.27241615,Yorkshire Terrier
10.65286334,Yorkshire Terrier
10.89926991,Yorkshire Terrier
10.92664841,Yorkshire Terrier
11.02794889,Yorkshire Terrier
11.05806525,Yorkshire Terrier
11.14567648,Yorkshire Terrier
11.17579284,Yorkshire Terrier
11.21971253,Yorkshire Terrier
11.5727812,Yorkshire Terrier
11.67955738,Yorkshire Terrier
11.69598449,Yorkshire Terrier
11.72621492,Yorkshire Terrier
11.75359343,Yorkshire Terrier
11.77264431,Yorkshire Terrier
11.78370979,Yorkshire Terrier
11.82740132,Yorkshire Terrier
