Type,Age of Death
male,74
male,37
female,58
female,21
male,49
female,55
female,19
female,76
female,57
female,51
female,84
female,52
male,39
male,68
male,61
male,70
male,60
female,66
female,42
male,65
male,59
male,79
male,65
female,89
female,45
male,87
male,19
male,88
male,63
female,70
female,51
female,56
female,23
male,85
male,11
male,79
female,65
female,24
female,93
male,54
male,72
male,47
female,72
female,67
male,78
male,84
female,54
male,80
female,78
female,3
male,66
male,27
female,48
female,2
male,0
female,93
male,1
female,13
female,85
male,7
female,68
male,65
female,34
male,53
male,76
female,78
male,75
male,80
male,68
female,73
female,65
male,31
male,62
female,65
male,70
male,103
male,57
female,79
male,21
male,67
female,54
female,66
male,81
female,14
female,66
female,33
male,56
male,62
female,9
female,57
male,59
male,35
male,72
female,65
female,71
male,61
female,21
female,22
female,81
female,22
female,93
female,33
female,51
female,58
female,46
female,91
male,60
male,86
male,60
female,15
male,61
male,88
female,94
female,86
male,6
male,92
male,80
female,58
female,0
female,67
female,56
male,69
male,1
female,72
female,68
female,52
female,72
male,84
male,50
male,93
female,22
male,74
male,76
female,4
male,67
male,81
female,45
female,104
male,73
female,89
female,22
male,53
female,78
female,45
female,72
male,19
female,81
female,10
male,84
male,69
female,90
female,93
female,78
female,73
male,54
male,76
female,71
male,88
male,76
male,75
male,79
male,71
male,90
male,44
female,37
female,88
male,28
female,62
female,79
male,51
male,43
male,85
female,86
female,78
male,71
female,77
female,82
female,4
female,84
male,70
male,60
female,48
male,65
male,31
female,80
male,85
male,74
male,1
male,72
male,50
female,71
male,95
female,79
female,86
male,73
male,93
female,31
female,61
male,71
female,59
female,27
female,33
female,78
male,74
female,33
female,90
male,84
female,37
male,77
male,88
male,63
male,63
male,71
female,29
female,83
male,52
female,35
female,66
male,31
female,82
male,39
male,87
female,81
female,78
male,86
female,78
male,78
female,87
female,0
male,2
male,0
male,52
female,75
female,27
male,84
male,86
female,29
female,74
male,84
male,82
male,22
female,85
male,17
male,75
male,81
male,32
female,74
female,77
female,79
male,86
female,80
male,80
male,14
female,83
male,78
male,60
female,7
female,68
male,82
female,47
female,73
male,68
male,72
male,63
male,71
male,79
female,32
male,55
female,72
male,59
female,63
female,52
male,56
female,11
male,64
female,56
female,38
male,59
male,95
female,65
female,77
female,55
female,69
male,69
male,87
female,70
male,86
female,20
male,80
male,71
male,1
female,73
female,49
male,74
female,1
female,1
female,25
male,80
male,1
female,87
