Type,Age of Death
male,0
female,0
female,78
female,82
male,68
female,79
female,74
female,68
female,83
female,45
female,83
female,87
female,70
male,46
male,74
female,66
female,25
female,80
female,38
female,47
male,71
female,91
female,65
male,64
male,57
female,76
female,68
male,62
female,85
female,34
male,20
female,76
male,76
male,25
male,81
female,7
male,55
female,94
male,60
female,79
male,0
male,35
female,73
female,67
male,73
male,52
male,50
male,55
male,65
male,0
male,76
male,93
male,22
female,11
male,8
male,36
male,61
female,65
male,50
male,91
male,96
female,22
male,71
male,85
male,37
male,84
male,74
female,79
female,93
male,71
male,72
female,43
male,74
female,41
female,65
female,86
male,97
male,86
female,88
male,80
male,60
male,74
male,78
male,70
male,57
male,33
male,78
female,71
male,89
female,67
female,83
male,72
female,72
male,86
male,76
female,100
male,84
female,90
female,3
female,55
female,87
male,75
male,83
male,87
male,0
female,43
female,57
female,79
male,39
female,82
female,15
female,78
male,69
male,86
male,58
male,74
female,51
male,32
male,20
male,75
male,0
male,77
female,58
female,35
male,71
male,59
male,76
female,97
male,68
male,64
female,89
female,77
female,0
male,66
male,70
male,54
female,0
male,76
male,84
female,76
male,0
female,47
male,69
female,40
female,72
female,81
male,83
female,85
male,82
male,61
female,71
female,88
male,77
male,50
female,2
female,80
male,67
male,72
male,83
male,70
female,87
male,80
male,42
female,85
male,30
female,81
female,62
female,84
male,83
male,74
male,49
female,0
female,92
male,0
male,34
female,80
female,35
male,90
male,60
female,94
female,77
female,68
male,64
female,84
female,80
female,64
female,69
male,69
male,82
male,73
male,70
female,94
male,1
female,34
male,86
female,90
female,89
male,4
male,0
male,76
female,88
female,86
male,63
male,80
female,72
male,47
female,69
female,92
female,42
male,73
male,84
male,65
female,88
female,89
female,83
male,79
male,0
female,92
female,71
female,78
male,69
male,65
female,0
male,78
female,22
female,80
male,89
male,15
female,61
female,71
male,87
female,70
female,51
male,78
female,91
male,67
male,61
female,93
male,83
male,80
male,91
male,71
female,18
male,70
male,79
male,72
male,49
female,61
female,89
female,69
male,72
male,78
female,2
male,83
female,82
male,0
male,43
male,69
female,78
female,56
male,36
female,86
male,35
female,62
male,81
female,19
male,77
male,83
male,71
male,60
male,21
female,93
male,72
male,82
male,79
male,56
female,41
male,13
male,80
female,83
male,74
female,73
male,33
female,62
male,54
male,68
female,78
male,61
male,84
female,55
female,54
female,79
female,63
female,90
male,71
female,64
male,80
male,63
female,63
female,76
