Age of Death,Type
15.57015743,mongrel
5.002053388,mongrel
11.78085786,mongrel
9.93828428,mongrel
10.80070728,mongrel
16.91444216,mongrel
10.82272416,mongrel
13.18263746,mongrel
13.4072553,mongrel
13.82888433,mongrel
15.98083504,mongrel
17.00205339,mongrel
11.47421857,mongrel
14.68856947,mongrel
14.99794661,mongrel
15.78918549,mongrel
16.82124116,mongrel
8.824093087,mongrel
13.04312115,mongrel
13.62628337,mongrel
13.95744924,mongrel
15.15115218,mongrel
15.99988592,mongrel
16.99931554,mongrel
16.99931554,mongrel
17.9247091,mongrel
19.99988592,mongrel
14.97045403,mongrel
15.42505133,mongrel
17.39892768,mongrel
17.00193931,mongrel
13.90006845,mongrel
16.03285421,mongrel
18.79523158,mongrel
1.505817933,mongrel
13.28131417,mongrel
4.260095825,mongrel
