Age of Death,Type
5.377138946,small crossbreed
13.72199407,small crossbreed
16.43794205,small crossbreed
13.95197353,small crossbreed
9.910905772,small crossbreed
13.50296601,small crossbreed
8.309263062,small crossbreed
14.09160392,small crossbreed
8.960985626,small crossbreed
4.78838695,small crossbreed
14.39288159,small crossbreed
11.54540269,small crossbreed
10.32169747,small crossbreed
15.49075975,small crossbreed
13.28952772,small crossbreed
10.99509468,small crossbreed
13.41546886,small crossbreed
