work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EN,FT,EN,213660,USD,213660,US,0,US,L
2023,EN,FT,EN,130760,USD,130760,US,0,US,L
2023,EN,FT,EN,100000,USD,100000,NG,100,NG,L
2023,EN,FT,EN,30000,USD,30000,NG,100,NG,L
2023,EN,FT,EN,204620,USD,204620,US,0,US,L
2023,EN,FT,EN,110680,USD,110680,US,0,US,L
2022,EN,FT,EN,300000,USD,300000,IN,50,IN,L
2023,EN,FT,EN,163196,USD,163196,US,0,US,M
2023,EN,FT,EN,145885,USD,145885,US,0,US,M
2023,EN,FT,EN,220000,USD,220000,US,50,US,L
2022,EN,FT,EN,54000,CHF,56536,CH,100,CH,S
2023,EN,FT,EN,85000,USD,85000,US,0,US,M
2023,EN,FT,EN,65000,USD,65000,US,0,US,M
2023,EN,FT,EN,75000,USD,75000,US,0,US,M
2023,EN,FT,EN,70000,USD,70000,US,0,US,M
2023,EN,FT,EN,85000,USD,85000,US,100,US,M
2023,EN,FT,EN,75000,USD,75000,US,100,US,M
2023,EN,FT,EN,1400000,INR,17022,IN,100,IN,L
2023,EN,FT,EN,85000,USD,85000,US,0,US,M
2023,EN,FT,EN,65000,USD,65000,US,0,US,M
2023,EN,FT,EN,55000,CAD,40663,CA,0,CA,L
2023,EN,FT,EN,70000,CAD,51753,CA,100,CA,L
2023,EN,FT,EN,130001,USD,130001,US,100,US,M
2023,EN,FT,EN,71907,USD,71907,US,100,US,M
2023,EN,FT,EN,85000,USD,85000,US,0,US,M
2023,EN,FT,EN,65000,USD,65000,US,0,US,M
2023,EN,FT,EN,213660,USD,213660,US,0,US,L
2023,EN,FT,EN,130760,USD,130760,US,0,US,L
2023,EN,FT,EN,60000,USD,60000,US,100,US,M
2023,EN,FT,EN,85000,USD,85000,US,0,US,M
2023,EN,FT,EN,65000,USD,65000,US,0,US,M
2023,EN,FT,EN,155000,USD,155000,US,0,US,M
2023,EN,FT,EN,125000,USD,125000,US,0,US,M
2023,EN,FT,EN,155000,USD,155000,US,0,US,M
2023,EN,FT,EN,125000,USD,125000,US,0,US,M
2023,EN,FT,EN,64200,USD,64200,US,100,US,M
2023,EN,FT,EN,56100,USD,56100,US,100,US,M
2023,EN,FT,EN,92700,USD,92700,US,100,US,M
2023,EN,FT,EN,61800,USD,61800,US,100,US,M
2022,EN,FT,EN,57000,EUR,59888,NL,100,NL,L
2023,EN,FT,EN,20000,EUR,21461,ES,0,ES,M
2023,EN,FT,EN,160000,USD,160000,US,0,US,M
2023,EN,FT,EN,120000,USD,120000,US,0,US,M
2023,EN,FT,EN,7000,USD,7000,GH,0,GH,S
2023,EN,FT,EN,40000,EUR,42923,DE,50,DE,M
2023,EN,FT,EN,190000,USD,190000,US,0,US,M
2023,EN,FT,EN,120000,USD,120000,US,0,US,M
2023,EN,FT,EN,112000,CHF,121093,CH,50,CH,L
2023,EN,FT,EN,85000,USD,85000,US,100,US,M
2023,EN,FT,EN,75000,USD,75000,US,100,US,M
2023,EN,FT,EN,92700,USD,92700,US,100,US,M
2023,EN,FT,EN,61800,USD,61800,US,100,US,M
2023,EN,FT,EN,62000,USD,62000,US,100,US,M
2023,EN,FT,EN,58000,USD,58000,US,100,US,M
2023,EN,FT,EN,125000,USD,125000,US,0,US,M
2023,EN,FT,EN,90000,USD,90000,US,0,US,M
2023,EN,FT,EN,95000,USD,95000,US,100,US,M
2023,EN,FT,EN,70000,USD,70000,US,100,US,M
2023,EN,FT,EN,115100,USD,115100,US,0,US,M
2023,EN,FT,EN,73900,USD,73900,US,0,US,M
2023,EN,FT,EN,70000,USD,70000,IN,0,AU,L
2023,EN,FT,EN,80000,USD,80000,SE,50,SE,M
2023,EN,FT,EN,150000,USD,150000,US,0,US,M
2023,EN,FT,EN,100000,USD,100000,US,0,US,M
2023,EN,FT,EN,75000,USD,75000,US,100,US,M
2023,EN,FT,EN,60000,USD,60000,US,100,US,M
2023,EN,FT,EN,125000,USD,125000,US,0,US,M
2023,EN,FT,EN,90000,USD,90000,US,0,US,M
2023,EN,FT,EN,200000,EUR,214618,DE,100,DE,L
2023,EN,FT,EN,100000,USD,100000,UZ,100,US,L
2023,EN,FT,EN,150000,USD,150000,US,0,US,M
2023,EN,FT,EN,100000,USD,100000,US,0,US,M
2023,EN,FT,EN,150000,USD,150000,US,0,US,M
2023,EN,FT,EN,100000,USD,100000,US,0,US,M
2023,EN,FT,EN,85000,USD,85000,US,100,US,M
2023,EN,FT,EN,75000,USD,75000,US,100,US,M
2023,EN,FT,EN,30000,USD,30000,IN,50,IN,M
2022,EN,PT,EN,34320,USD,34320,US,100,US,S
2023,EN,FT,EN,220000,USD,220000,US,0,US,M
2023,EN,FT,EN,60000,EUR,64385,DE,0,DE,M
2022,EN,FT,EN,168000,USD,168000,US,100,US,M
2023,EN,FT,EN,55000,USD,55000,US,0,US,M
2023,EN,FT,EN,48000,USD,48000,US,0,US,M
2023,EN,PT,EN,78000,PLN,17779,PL,100,IN,L
2023,EN,FT,EN,101400,BRL,19522,BR,100,BR,L
2023,EN,FT,EN,75000,USD,75000,US,100,US,M
2023,EN,FT,EN,60000,USD,60000,US,100,US,M
2022,EN,FT,EN,85000,USD,85000,US,0,US,M
2023,EN,FT,EN,120000,USD,120000,GB,100,GB,M
2023,EN,FT,EN,60000,USD,60000,GB,100,GB,M
2023,EN,FT,EN,60000,USD,60000,US,100,US,L
2023,EN,FT,EN,50000,USD,50000,KW,50,US,L
2023,EN,FT,EN,800000,INR,9727,IN,0,IN,L
2023,EN,FT,EN,85000,USD,85000,US,100,US,M
2023,EN,FT,EN,75000,USD,75000,US,100,US,M
2023,EN,FT,EN,12000,USD,12000,VN,0,VN,L
2023,EN,FT,EN,55000,USD,55000,US,0,US,M
2023,EN,FT,EN,48000,USD,48000,US,0,US,M
2023,EN,FT,EN,100000,USD,100000,US,50,US,M
2023,EN,FT,EN,110000,USD,110000,US,50,US,S
2023,EN,FT,EN,1050000,INR,12767,IN,50,IN,L
2023,EN,FT,EN,25000,EUR,26827,DE,100,DE,L
2022,EN,FT,EN,180000,USD,180000,US,100,US,M
2023,EN,FT,EN,160000,USD,160000,US,0,US,M
2023,EN,FT,EN,100000,USD,100000,US,0,US,M
2023,EN,FT,EN,130000,USD,130000,SE,100,SE,S
2023,EN,FT,EN,160000,USD,160000,US,0,US,M
2023,EN,FT,EN,135000,USD,135000,US,0,US,M
2021,EN,FT,EN,90000,SGD,66970,SG,50,SG,L
2023,EN,FT,EN,30000,USD,30000,AR,100,US,S
2023,EN,FT,EN,124234,USD,124234,US,0,US,M
2023,EN,FT,EN,74540,USD,74540,US,0,US,M
2023,EN,FT,EN,1060000,INR,12888,IN,50,IN,S
2022,EN,FT,EN,48000,USD,48000,US,50,US,L
2023,EN,FT,EN,120000,USD,120000,BA,50,BA,S
2023,EN,FT,EN,12000,EUR,12877,GR,50,GR,L
2022,EN,FT,EN,6000,EUR,6304,MK,0,MK,S
2023,EN,FT,EN,160000,USD,160000,US,0,US,M
2023,EN,FT,EN,135000,USD,135000,US,0,US,M
2023,EN,FT,EN,50000,USD,50000,IN,100,US,M
2022,EN,PT,EN,24000,EUR,25216,ES,100,US,L
2023,EN,FT,EN,160000,USD,160000,US,0,US,M
2023,EN,FT,EN,135000,USD,135000,US,0,US,M
2022,EN,FT,EN,100000,USD,100000,US,100,US,M
2023,EN,FT,EN,160000,USD,160000,US,0,US,M
2023,EN,FT,EN,120000,USD,120000,US,0,US,M
2023,EN,FT,EN,150000,USD,150000,US,0,US,M
2023,EN,FT,EN,120000,USD,120000,US,0,US,M
2022,EN,FT,EN,130000,USD,130000,US,0,US,M
2023,EN,FT,EN,160000,USD,160000,US,0,US,M
2023,EN,FT,EN,135000,USD,135000,US,0,US,M
2022,EN,FT,EN,40000,USD,40000,AU,100,PK,M
2022,EN,FT,EN,40000,USD,40000,PK,100,AU,M
2022,EN,FT,EN,40000,USD,40000,PK,100,AU,M
2022,EN,FT,EN,160000,USD,160000,US,0,US,M
2022,EN,FT,EN,135000,USD,135000,US,0,US,M
2022,EN,FT,EN,23000,EUR,24165,IT,50,IT,M
2022,EN,FT,EN,85000,USD,85000,US,0,US,M
2022,EN,FT,EN,65000,USD,65000,US,0,US,M
2022,EN,FT,EN,100000,USD,100000,US,100,US,M
