work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EX,FT,EX,258750,USD,258750,US,0,US,M
2023,EX,FT,EX,185000,USD,185000,US,0,US,M
2020,EX,FT,EX,15000,USD,15000,NG,0,CA,M
2023,EX,FT,EX,220000,USD,220000,US,0,US,M
2023,EX,FT,EX,205000,USD,205000,US,0,US,M
2023,EX,FT,EX,329500,USD,329500,US,0,US,M
2023,EX,FT,EX,269600,USD,269600,US,0,US,M
2023,EX,FT,EX,145000,USD,145000,US,0,US,M
2023,EX,FT,EX,115000,USD,115000,US,0,US,M
2023,EX,FT,EX,175000,USD,175000,US,0,US,M
2023,EX,FT,EX,110000,USD,110000,US,0,US,M
2023,EX,FT,EX,221000,USD,221000,US,100,US,M
2023,EX,FT,EX,153000,USD,153000,US,100,US,M
2023,EX,FT,EX,200000,USD,200000,US,0,US,M
2023,EX,FT,EX,145000,USD,145000,US,0,US,M
2023,EX,FT,EX,180000,USD,180000,US,0,US,M
2023,EX,FT,EX,155000,USD,155000,US,0,US,M
2023,EX,FT,EX,286000,USD,286000,US,100,US,M
2023,EX,FT,EX,207000,USD,207000,US,100,US,M
2023,EX,FT,EX,353200,USD,353200,US,0,US,M
2023,EX,FT,EX,249300,USD,249300,US,0,US,M
2023,EX,FT,EX,145000,USD,145000,US,0,US,M
2023,EX,FT,EX,100000,USD,100000,US,0,US,M
2023,EX,FT,EX,265000,USD,265000,US,0,US,M
2023,EX,FT,EX,235000,USD,235000,US,0,US,M
2023,EX,FT,EX,194500,USD,194500,US,0,US,M
2023,EX,FT,EX,115500,USD,115500,US,0,US,M
2023,EX,FT,EX,200000,USD,200000,US,0,US,M
2023,EX,FT,EX,145000,USD,145000,US,0,US,M
2023,EX,FT,EX,210914,USD,210914,US,100,US,M
2023,EX,FT,EX,116704,USD,116704,US,100,US,M
2023,EX,FT,EX,167500,USD,167500,US,0,US,M
2023,EX,FT,EX,106500,USD,106500,US,0,US,M
2023,EX,FT,EX,310000,USD,310000,US,100,US,M
2023,EX,FT,EX,239000,USD,239000,US,100,US,M
2022,EX,FT,EX,106000,USD,106000,UZ,0,RU,L
2023,EX,FT,EX,310000,USD,310000,US,100,US,M
2023,EX,FT,EX,239000,USD,239000,US,100,US,M
2023,EX,FT,EX,131899,GBP,160288,GB,0,GB,M
2023,EX,FT,EX,104891,GBP,127467,GB,0,GB,M
2023,EX,FT,EX,310000,USD,310000,US,100,US,M
2023,EX,FT,EX,239000,USD,239000,US,100,US,M
2023,EX,FT,EX,235000,USD,235000,US,0,US,M
2023,EX,FT,EX,210000,USD,210000,US,0,US,M
2023,EX,FT,EX,210914,USD,210914,US,100,US,M
2023,EX,FT,EX,116704,USD,116704,US,100,US,M
2023,EX,FT,EX,284000,USD,284000,US,100,US,M
2023,EX,FT,EX,236000,USD,236000,US,100,US,M
2023,EX,FT,EX,155000,USD,155000,US,0,US,M
2023,EX,FT,EX,140000,USD,140000,US,0,US,M
2023,EX,FT,EX,175000,USD,175000,US,0,US,M
2023,EX,FT,EX,110000,USD,110000,US,0,US,M
