work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,CT,MI,30000,USD,30000,US,100,US,S
2023,MI,CT,MI,25500,USD,25500,US,100,US,S
2023,MI,FT,MI,150000,USD,150000,US,100,US,M
2023,MI,FT,MI,110000,USD,110000,US,100,US,M
2023,MI,FT,MI,162500,USD,162500,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,105380,USD,105380,US,0,US,M
2023,MI,FT,MI,64500,USD,64500,US,0,US,M
2022,MI,FT,MI,1650000,INR,20984,IN,50,IN,L
2023,MI,FT,MI,510000,HKD,65062,HK,0,HK,L
2023,MI,FT,MI,65000,EUR,69751,IN,100,DE,S
2023,MI,FT,MI,90000,EUR,96578,NL,100,NL,L
2023,MI,FT,MI,155000,USD,155000,US,0,US,M
2023,MI,FT,MI,140000,USD,140000,US,0,US,M
2023,MI,FT,MI,100000,USD,100000,US,100,US,M
2023,MI,FT,MI,70000,USD,70000,US,100,US,M
2023,MI,FT,MI,100000,USD,100000,US,100,US,M
2023,MI,FT,MI,70000,USD,70000,US,100,US,M
2023,MI,FT,MI,105000,USD,105000,US,50,US,L
2023,MI,FT,MI,1700000,INR,20670,IN,100,IN,L
2023,MI,FT,MI,38000,GBP,46178,GB,0,GB,M
2023,MI,FT,MI,35000,GBP,42533,GB,0,GB,M
2023,MI,FT,MI,162500,USD,162500,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,55000,GBP,66837,GB,0,GB,M
2023,MI,FT,MI,45000,GBP,54685,GB,0,GB,M
2023,MI,FT,MI,70000,GBP,85066,GB,100,GB,M
2023,MI,FT,MI,47500,GBP,57723,GB,100,GB,M
2023,MI,FT,MI,300000,USD,300000,US,0,US,M
2023,MI,FT,MI,250000,USD,250000,US,0,US,M
2023,MI,FT,MI,230000,USD,230000,US,0,US,M
2023,MI,FT,MI,200000,USD,200000,US,0,US,M
2023,MI,FT,MI,180000,USD,180000,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,100000,SGD,75020,FI,0,FI,M
2023,MI,FT,MI,200000,USD,200000,US,100,US,M
2023,MI,FT,MI,280700,USD,280700,US,100,US,M
2023,MI,FT,MI,150450,USD,150450,US,100,US,M
2023,MI,FT,MI,93918,USD,93918,US,100,US,M
2023,MI,FT,MI,51962,USD,51962,US,100,US,M
2023,MI,FT,MI,45000,EUR,48289,ES,100,ES,M
2023,MI,FT,MI,90000,USD,90000,US,0,US,M
2023,MI,FT,MI,75000,USD,75000,US,0,US,M
2023,MI,FT,MI,161200,GBP,195895,GB,0,GB,M
2023,MI,FT,MI,84570,GBP,102772,GB,0,GB,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,80000,USD,80000,US,0,US,M
2023,MI,FT,MI,180000,USD,180000,US,100,US,M
2023,MI,FT,MI,140000,USD,140000,US,100,US,M
2023,MI,FT,MI,68000,USD,68000,US,0,US,L
2023,MI,FT,MI,125000,USD,125000,US,0,US,M
2023,MI,FT,MI,90000,USD,90000,US,0,US,M
2023,MI,FT,MI,135000,USD,135000,US,0,US,M
2023,MI,FT,MI,120000,USD,120000,US,0,US,M
2023,MI,FT,MI,182500,USD,182500,US,0,US,M
2023,MI,FT,MI,121500,USD,121500,US,0,US,M
2023,MI,FT,MI,60000,GBP,72914,GB,0,GB,M
2023,MI,FT,MI,45000,GBP,54685,GB,0,GB,M
2023,MI,FT,MI,167500,USD,167500,US,0,US,M
2023,MI,FT,MI,106500,USD,106500,US,0,US,M
2023,MI,FT,MI,146000,USD,146000,US,0,US,M
2023,MI,FT,MI,75000,USD,75000,US,0,US,M
2023,MI,FT,MI,230000,USD,230000,US,0,US,M
2023,MI,FT,MI,220000,USD,220000,US,0,US,M
2023,MI,FT,MI,210000,USD,210000,US,100,US,M
2023,MI,FT,MI,151800,USD,151800,US,100,US,M
2023,MI,FT,MI,134000,USD,134000,US,100,US,M
2023,MI,FT,MI,124000,USD,124000,US,100,US,M
2023,MI,FT,MI,167500,USD,167500,US,0,US,M
2023,MI,FT,MI,106500,USD,106500,US,0,US,M
2023,MI,FT,MI,135000,USD,135000,US,50,US,L
2023,MI,FT,MI,143865,USD,143865,US,0,US,M
2023,MI,FT,MI,115092,USD,115092,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,90000,USD,90000,US,0,US,M
2023,MI,FT,MI,149600,USD,149600,US,0,US,M
2023,MI,FT,MI,102000,USD,102000,US,0,US,M
2023,MI,FT,MI,90000,EUR,96578,IE,0,IE,M
2023,MI,FT,MI,75000,EUR,80481,IE,0,IE,M
2023,MI,FT,MI,128000,USD,128000,US,0,US,M
2023,MI,FT,MI,85000,USD,85000,US,0,US,M
2023,MI,FT,MI,151000,USD,151000,US,0,US,M
2023,MI,FT,MI,140000,USD,140000,US,0,US,M
2023,MI,FT,MI,154000,USD,154000,US,0,US,M
2023,MI,FT,MI,143000,USD,143000,US,0,US,M
2023,MI,FT,MI,65000,GBP,78990,GB,0,GB,M
2023,MI,FT,MI,42000,GBP,51039,GB,0,GB,M
2023,MI,FT,MI,70000,GBP,85066,GB,0,GB,M
2023,MI,FT,MI,42000,GBP,51039,GB,0,GB,M
2023,MI,FT,MI,90000,GBP,109371,GB,0,GB,M
2023,MI,FT,MI,60000,GBP,72914,GB,0,GB,M
2022,MI,FT,MI,70000,EUR,73546,DE,100,DE,M
2023,MI,FT,MI,75000,USD,75000,US,100,US,M
2023,MI,FT,MI,60400,USD,60400,US,100,US,M
2023,MI,FT,MI,56000,EUR,60093,AT,100,DE,M
2023,MI,FT,MI,83500,USD,83500,US,100,US,M
2023,MI,FT,MI,52500,USD,52500,US,100,US,M
2023,MI,FT,MI,90000,USD,90000,US,100,US,M
2023,MI,FT,MI,90000,USD,90000,US,100,US,M
2023,MI,FT,MI,145000,USD,145000,US,0,US,M
2023,MI,FT,MI,120000,USD,120000,US,0,US,M
2023,MI,FT,MI,206000,USD,206000,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,160000,USD,160000,US,0,US,M
2023,MI,FT,MI,112000,USD,112000,US,0,US,M
2023,MI,FT,MI,162500,USD,162500,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,145000,USD,145000,US,0,US,M
2023,MI,FT,MI,100000,USD,100000,US,0,US,M
2023,MI,FT,MI,145000,USD,145000,US,0,US,M
2023,MI,FT,MI,100000,USD,100000,US,0,US,M
2023,MI,FT,MI,100000,USD,100000,US,0,US,M
2023,MI,FT,MI,85000,USD,85000,US,0,US,M
2023,MI,FT,MI,70000,GBP,85066,GB,100,GB,M
2023,MI,FT,MI,47500,GBP,57723,GB,100,GB,M
2023,MI,FT,MI,140000,USD,140000,US,0,US,M
2023,MI,FT,MI,95000,USD,95000,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,US,100,US,L
2023,MI,FT,MI,75000,USD,75000,US,100,US,M
2023,MI,FT,MI,65000,USD,65000,US,100,US,M
2023,MI,FT,MI,160000,USD,160000,US,0,US,M
2023,MI,FT,MI,147000,USD,147000,US,0,US,M
2023,MI,FT,MI,100000,SGD,75020,SG,100,SG,L
2023,MI,FT,MI,1400000,INR,17022,IN,100,IN,L
2023,MI,FT,MI,1500000,INR,18238,IN,50,IN,L
2023,MI,FT,MI,250000,USD,250000,US,0,US,M
2023,MI,FT,MI,150000,USD,150000,US,0,US,M
2023,MI,FT,MI,185700,USD,185700,US,0,US,M
2023,MI,FT,MI,165000,USD,165000,US,0,US,M
2023,MI,FT,MI,55000,EUR,59020,ES,0,ES,M
2023,MI,FT,MI,45000,EUR,48289,ES,0,ES,M
2023,MI,FT,MI,70000,EUR,75116,SI,100,SI,M
2023,MI,FT,MI,45000,EUR,48289,SI,100,SI,M
2021,MI,FT,MI,150000,USD,150000,US,100,US,M
2023,MI,FT,MI,128750,USD,128750,US,0,US,M
2023,MI,FT,MI,106250,USD,106250,US,0,US,M
2023,MI,FT,MI,155000,USD,155000,US,0,US,M
2023,MI,FT,MI,140000,USD,140000,US,0,US,M
2023,MI,FT,MI,130000,USD,130000,CA,100,CA,M
2023,MI,FT,MI,100000,USD,100000,CA,100,CA,M
2023,MI,FT,MI,104500,USD,104500,US,0,US,M
2023,MI,FT,MI,70000,USD,70000,US,0,US,M
2023,MI,FT,MI,90000,USD,90000,US,0,US,M
2023,MI,FT,MI,70000,USD,70000,US,0,US,M
2023,MI,FT,MI,185000,USD,185000,US,100,US,M
2023,MI,FT,MI,125000,USD,125000,US,100,US,M
2023,MI,FT,MI,200000,USD,200000,US,100,US,M
2023,MI,FT,MI,150000,USD,150000,US,100,US,M
2023,MI,FT,MI,72000,USD,72000,MX,100,MX,M
2023,MI,FT,MI,60000,USD,60000,MX,100,MX,M
2023,MI,FT,MI,260000,USD,260000,US,0,US,M
2023,MI,FT,MI,175000,USD,175000,US,0,US,M
2023,MI,FT,MI,340000,USD,340000,US,100,US,M
2023,MI,FT,MI,150000,USD,150000,US,100,US,M
2023,MI,FT,MI,250000,USD,250000,US,0,US,M
2023,MI,FT,MI,175000,USD,175000,US,0,US,M
2023,MI,FT,MI,60000,EUR,64385,FR,50,FR,M
2023,MI,FT,MI,146000,USD,146000,US,0,US,M
2023,MI,FT,MI,75000,USD,75000,US,0,US,M
2023,MI,FT,MI,149600,USD,149600,US,0,US,M
2023,MI,FT,MI,102000,USD,102000,US,0,US,M
2023,MI,FT,MI,80000,GBP,97218,GB,0,GB,M
2023,MI,FT,MI,40000,GBP,48609,GB,0,GB,M
2023,MI,FT,MI,145000,USD,145000,US,0,US,M
2023,MI,FT,MI,125000,USD,125000,US,0,US,M
2023,MI,FT,MI,150000,USD,150000,US,100,US,M
2023,MI,FT,MI,97750,USD,97750,US,100,US,M
2023,MI,FT,MI,116990,USD,116990,US,100,US,M
2023,MI,FT,MI,82920,USD,82920,US,100,US,M
2023,MI,FT,MI,200000,USD,200000,US,0,US,S
2023,MI,FT,MI,125000,USD,125000,US,0,US,S
2023,MI,FT,MI,205920,USD,205920,US,0,US,M
2023,MI,FT,MI,171600,USD,171600,US,0,US,M
2023,MI,FT,MI,154000,USD,154000,US,0,US,M
2023,MI,FT,MI,116000,USD,116000,US,0,US,M
2023,MI,FT,MI,65000,GBP,78990,GB,100,GB,M
2023,MI,FT,MI,36050,GBP,43809,GB,100,GB,M
2023,MI,FT,MI,200000,USD,200000,US,0,US,M
2023,MI,FT,MI,120000,USD,120000,US,0,US,M
2023,MI,FT,MI,105000,GBP,127599,GB,0,GB,M
2023,MI,FT,MI,85000,GBP,103294,GB,0,GB,M
2023,MI,FT,MI,155000,USD,155000,US,0,US,M
2023,MI,FT,MI,140000,USD,140000,US,0,US,M
2023,MI,FT,MI,185000,USD,185000,US,0,US,M
2023,MI,FT,MI,125000,USD,125000,US,0,US,M
2022,MI,FT,MI,48000,BRL,9289,BR,100,BR,M
2023,MI,FT,MI,200000,USD,200000,US,0,US,M
2023,MI,FT,MI,175000,USD,175000,US,0,US,M
2023,MI,FT,MI,40000,USD,40000,FR,50,FR,L
2023,MI,FT,MI,140000,USD,140000,US,0,US,M
2023,MI,FT,MI,100000,USD,100000,US,0,US,M
2023,MI,FT,MI,42000,GBP,51039,GB,0,GB,M
2023,MI,FT,MI,35000,GBP,42533,GB,0,GB,M
2023,MI,FT,MI,130000,USD,130000,US,0,US,M
2023,MI,FT,MI,36000,EUR,38631,ES,50,ES,L
2023,MI,FT,MI,150000,USD,150000,US,100,US,M
2023,MI,FT,MI,100000,USD,100000,US,100,US,M
2023,MI,FT,MI,95000,GBP,115447,GB,100,GB,L
2021,MI,FT,MI,30000,USD,30000,GH,0,GH,S
2023,MI,FT,MI,190000,USD,190000,US,100,US,M
2023,MI,FT,MI,160000,USD,160000,US,100,US,M
2023,MI,FT,MI,190000,USD,190000,US,0,US,M
2023,MI,FT,MI,183310,USD,183310,US,0,US,M
2023,MI,FT,MI,148500,USD,148500,US,0,US,M
2023,MI,FT,MI,126277,USD,126277,US,0,US,M
2023,MI,FT,MI,80000,USD,80000,US,0,US,M
2023,MI,FT,MI,60000,USD,60000,US,0,US,M
2023,MI,FT,MI,140000,USD,140000,US,100,US,M
2023,MI,FT,MI,120000,USD,120000,US,100,US,M
2023,MI,FT,MI,90000,GBP,109371,HR,0,HR,M
2023,MI,FT,MI,60000,GBP,72914,HR,0,HR,M
2023,MI,FT,MI,125000,USD,125000,US,0,US,M
2023,MI,FT,MI,90000,USD,90000,US,0,US,M
2023,MI,FT,MI,120000,USD,120000,US,0,US,M
2023,MI,FT,MI,90000,USD,90000,US,0,US,M
2023,MI,FT,MI,60000,GBP,72914,GB,0,GB,M
2023,MI,FT,MI,50000,GBP,60761,GB,0,GB,M
2023,MI,FT,MI,40000,GBP,48609,GB,100,GB,M
2023,MI,FT,MI,165000,USD,165000,US,0,US,M
2023,MI,FT,MI,124000,USD,124000,US,0,US,M
2023,MI,FT,MI,170000,USD,170000,US,0,US,M
2023,MI,FT,MI,120000,USD,120000,US,0,US,M
2023,MI,FT,MI,1350000,INR,16414,IN,100,IN,L
2023,MI,FT,MI,125000,USD,125000,US,0,US,M
2023,MI,FT,MI,105000,USD,105000,US,0,US,M
2023,MI,FT,MI,90000,GBP,109371,GB,0,GB,M
2023,MI,FT,MI,70000,GBP,85066,GB,0,GB,M
2023,MI,FT,MI,110000,USD,110000,US,100,US,M
2023,MI,FT,MI,95000,USD,95000,US,100,US,M
2023,MI,FT,MI,36000,USD,36000,MX,100,MX,S
2023,MI,FT,MI,100000,GBP,121523,GB,0,GB,M
2023,MI,FT,MI,80000,GBP,97218,GB,0,GB,M
2023,MI,FT,MI,120000,GBP,145828,GB,0,GB,M
2023,MI,FT,MI,100000,GBP,121523,GB,0,GB,M
