work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,SE,80000,EUR,85847,ES,100,ES,L
2023,SE,FT,SE,175000,USD,175000,CA,100,CA,M
2023,SE,FT,SE,120000,USD,120000,CA,100,CA,M
2023,SE,FT,SE,222200,USD,222200,US,0,US,L
2023,SE,FT,SE,136000,USD,136000,US,0,US,L
2023,SE,FT,SE,219000,USD,219000,CA,0,CA,M
2023,SE,FT,SE,141000,USD,141000,CA,0,CA,M
2023,SE,FT,SE,147100,USD,147100,US,0,US,M
2023,SE,FT,SE,90700,USD,90700,US,0,US,M
2023,SE,FT,SE,130000,USD,130000,US,100,US,M
2023,SE,FT,SE,100000,USD,100000,US,100,US,M
2023,SE,FT,SE,147100,USD,147100,US,0,US,M
2023,SE,FT,SE,90700,USD,90700,US,0,US,M
2023,SE,FT,SE,170000,USD,170000,US,0,US,M
2023,SE,FT,SE,150000,USD,150000,US,0,US,M
2023,SE,FT,SE,275000,USD,275000,DE,0,DE,M
2023,SE,FT,SE,174000,USD,174000,DE,0,DE,M
2023,SE,FT,SE,230000,USD,230000,GB,100,GB,M
2023,SE,FT,SE,143200,USD,143200,GB,100,GB,M
2023,SE,FT,SE,225000,USD,225000,US,0,US,M
2023,SE,FT,SE,156400,USD,156400,US,0,US,M
2023,SE,FT,SE,200000,USD,200000,US,0,US,M
2023,SE,FT,SE,130000,USD,130000,US,0,US,M
2023,SE,FT,SE,90000,USD,90000,CA,0,CA,M
2023,SE,FT,SE,72000,USD,72000,CA,0,CA,M
2023,SE,FT,SE,253200,USD,253200,US,0,US,M
2023,SE,FT,SE,90700,USD,90700,US,0,US,M
2023,SE,FT,SE,342810,USD,342810,US,0,US,M
2023,SE,FT,SE,184590,USD,184590,US,0,US,M
2023,SE,FT,SE,270703,USD,270703,US,0,US,M
2023,SE,FT,SE,221484,USD,221484,US,0,US,M
2023,SE,FT,SE,212750,USD,212750,US,100,US,M
2023,SE,FT,SE,185000,USD,185000,US,100,US,M
2023,SE,FT,SE,262000,USD,262000,US,100,US,M
2023,SE,FT,SE,245000,USD,245000,US,100,US,M
2023,SE,FT,SE,275300,USD,275300,US,100,US,M
2023,SE,FT,SE,183500,USD,183500,US,100,US,M
2023,SE,FT,SE,218500,USD,218500,US,100,US,M
2023,SE,FT,SE,199098,USD,199098,US,100,US,M
2023,SE,FT,SE,203300,USD,203300,US,100,US,M
2023,SE,FT,SE,123600,USD,123600,US,100,US,M
2023,SE,FT,SE,189110,USD,189110,US,0,US,M
2023,SE,FT,SE,139000,USD,139000,US,0,US,M
2023,SE,FT,SE,231500,USD,231500,US,100,US,M
2023,SE,FT,SE,166000,USD,166000,US,100,US,M
2023,SE,FT,SE,172500,USD,172500,US,100,US,M
2023,SE,FT,SE,110500,USD,110500,US,100,US,M
2023,SE,FT,SE,238000,USD,238000,US,0,US,M
2023,SE,FT,SE,176000,USD,176000,US,0,US,M
2023,SE,FT,SE,237000,USD,237000,US,100,US,M
2023,SE,FT,SE,201450,USD,201450,US,100,US,M
2023,SE,FT,SE,309400,USD,309400,US,0,US,L
2023,SE,FT,SE,159100,USD,159100,US,0,US,L
2023,SE,FT,SE,115000,USD,115000,US,0,US,M
2023,SE,FT,SE,81500,USD,81500,US,0,US,M
2023,SE,FT,SE,237000,USD,237000,US,100,US,M
2023,SE,FT,SE,201450,USD,201450,US,100,US,M
2023,SE,FT,SE,280000,USD,280000,US,0,US,M
2023,SE,FT,SE,210000,USD,210000,US,0,US,M
2023,SE,FT,SE,280100,USD,280100,US,100,US,M
2023,SE,FT,SE,168100,USD,168100,US,100,US,M
2023,SE,FT,SE,193500,USD,193500,US,100,US,M
2023,SE,FT,SE,139000,USD,139000,US,100,US,M
2023,SE,FT,SE,150000,USD,150000,PT,100,US,M
2023,SE,FT,SE,185900,USD,185900,US,0,US,M
2023,SE,FT,SE,129300,USD,129300,US,0,US,M
2023,SE,FT,SE,225000,USD,225000,US,100,US,M
2023,SE,FT,SE,175000,USD,175000,US,100,US,M
2023,SE,FT,SE,185000,USD,185000,US,0,US,M
2023,SE,FT,SE,140000,USD,140000,US,0,US,M
2023,SE,FT,SE,45000,EUR,48289,ES,0,ES,M
2023,SE,FT,SE,36000,EUR,38631,ES,0,ES,M
2023,SE,FT,SE,105000,USD,105000,US,0,US,M
2023,SE,FT,SE,70000,USD,70000,US,0,US,M
2023,SE,FT,SE,217000,USD,217000,US,100,US,M
2023,SE,FT,SE,185000,USD,185000,US,100,US,M
2023,SE,FT,SE,202800,USD,202800,US,0,US,L
2023,SE,FT,SE,104300,USD,104300,US,0,US,L
2023,SE,FT,SE,145000,USD,145000,US,0,US,M
2023,SE,FT,SE,65000,USD,65000,US,0,US,M
2023,SE,FT,SE,165000,USD,165000,US,0,US,M
2023,SE,FT,SE,132300,USD,132300,US,0,US,M
2023,SE,FT,SE,179170,USD,179170,US,0,US,M
2023,SE,FT,SE,94300,USD,94300,US,0,US,M
2023,SE,FT,SE,152500,USD,152500,US,0,US,M
2023,SE,FT,SE,116450,USD,116450,US,0,US,M
2023,SE,FT,SE,247300,USD,247300,US,0,US,M
2023,SE,FT,SE,133800,USD,133800,US,0,US,M
2023,SE,FT,SE,203000,USD,203000,US,0,US,M
2023,SE,FT,SE,133000,USD,133000,US,0,US,M
2023,SE,FT,SE,150000,USD,150000,US,0,US,M
2023,SE,FT,SE,120000,USD,120000,US,0,US,M
2023,SE,FT,SE,289800,USD,289800,US,0,US,M
2023,SE,FT,SE,214000,USD,214000,US,0,US,M
2023,SE,FT,SE,179820,USD,179820,US,0,US,M
2023,SE,FT,SE,143860,USD,143860,US,0,US,M
2023,SE,FT,SE,283200,USD,283200,US,100,US,M
2023,SE,FT,SE,188800,USD,188800,US,100,US,M
2023,SE,FT,SE,289800,USD,289800,US,0,US,M
2023,SE,FT,SE,214200,USD,214200,US,0,US,M
2023,SE,FT,SE,185900,USD,185900,US,0,US,M
2023,SE,FT,SE,129300,USD,129300,US,0,US,M
2023,SE,FT,SE,252000,USD,252000,US,0,US,M
2023,SE,FT,SE,129000,USD,129000,US,0,US,M
2023,SE,FT,SE,161800,USD,161800,US,100,US,M
2023,SE,FT,SE,141600,USD,141600,US,100,US,M
2023,SE,FT,SE,342300,USD,342300,US,0,US,L
2023,SE,FT,SE,176100,USD,176100,US,0,US,L
2023,SE,FT,SE,138784,USD,138784,US,100,US,M
2023,SE,FT,SE,83270,USD,83270,US,100,US,M
2023,SE,FT,SE,204500,USD,204500,US,0,US,M
2023,SE,FT,SE,138900,USD,138900,US,0,US,M
2023,SE,FT,SE,318300,USD,318300,US,100,US,M
2023,SE,FT,SE,212200,USD,212200,US,100,US,M
2023,SE,FT,SE,95000,USD,95000,US,100,US,M
2023,SE,FT,SE,75000,USD,75000,US,100,US,M
2023,SE,FT,SE,195000,USD,195000,US,0,US,M
2023,SE,FT,SE,160000,USD,160000,US,0,US,M
2023,SE,FT,SE,230000,USD,230000,US,0,US,M
2023,SE,FT,SE,143200,USD,143200,US,0,US,M
2023,SE,FT,SE,145000,USD,145000,US,0,US,M
2023,SE,FT,SE,115000,USD,115000,US,0,US,M
2023,SE,FT,SE,168400,USD,168400,US,0,US,M
2023,SE,FT,SE,105200,USD,105200,US,0,US,M
2023,SE,FT,SE,309400,USD,309400,US,0,US,L
2023,SE,FT,SE,159100,USD,159100,US,0,US,L
2023,SE,FT,SE,190000,USD,190000,US,0,US,M
2023,SE,FT,SE,150000,USD,150000,US,0,US,M
2023,SE,FT,SE,150000,USD,150000,US,100,US,M
2023,SE,FT,SE,120000,USD,120000,US,100,US,M
2023,SE,FT,SE,145000,USD,145000,US,0,US,M
2023,SE,FT,SE,120000,USD,120000,US,0,US,M
2023,SE,FT,SE,222200,USD,222200,US,0,US,L
2023,SE,FT,SE,136000,USD,136000,US,0,US,L
2023,SE,FT,SE,45000,GBP,54685,CF,100,CF,M
2023,SE,FT,SE,35000,GBP,42533,CF,100,CF,M
2023,SE,FT,SE,241000,USD,241000,US,0,US,M
2023,SE,FT,SE,155000,USD,155000,US,0,US,M
2023,SE,FT,SE,220000,USD,220000,US,100,US,M
2023,SE,FT,SE,190000,USD,190000,US,100,US,M
2023,SE,FT,SE,160000,USD,160000,US,0,US,M
2023,SE,FT,SE,140000,USD,140000,US,0,US,M
2023,SE,FT,SE,228000,USD,228000,US,0,US,M
2023,SE,FT,SE,186000,USD,186000,US,0,US,M
2023,SE,FT,SE,190000,USD,190000,US,0,US,M
2023,SE,FT,SE,170000,USD,170000,US,0,US,M
2023,SE,FT,SE,180000,USD,180000,US,100,US,M
2023,SE,FT,SE,115000,USD,115000,US,100,US,M
2023,SE,FT,SE,200000,USD,200000,US,100,US,M
2023,SE,FT,SE,115000,USD,115000,US,100,US,M
2023,SE,FT,SE,50000,EUR,53654,FR,50,FR,S
2023,SE,FT,SE,200000,USD,200000,US,100,US,M
2023,SE,FT,SE,150000,USD,150000,US,100,US,M
2023,SE,FT,SE,215000,USD,215000,US,0,US,M
2023,SE,FT,SE,170000,USD,170000,US,0,US,M
2023,SE,FT,SE,247500,USD,247500,US,0,US,M
2023,SE,FT,SE,172200,USD,172200,US,0,US,M
2023,SE,FT,SE,224000,USD,224000,CA,0,CA,M
2023,SE,FT,SE,176000,USD,176000,CA,0,CA,M
2023,SE,FT,SE,120000,USD,120000,US,100,US,M
2023,SE,FT,SE,75000,USD,75000,US,100,US,M
2023,SE,FT,SE,100000,AUD,68318,AU,100,FI,M
2023,SE,FT,SE,140000,USD,140000,US,0,US,M
2023,SE,FT,SE,120000,USD,120000,US,0,US,M
2023,SE,FT,SE,128000,USD,128000,US,0,US,M
2023,SE,FT,SE,81500,USD,81500,US,0,US,M
2023,SE,FT,SE,145000,USD,145000,US,0,US,M
2023,SE,FT,SE,115000,USD,115000,US,0,US,M
2023,SE,FT,SE,185000,USD,185000,US,0,US,M
2023,SE,FT,SE,140000,USD,140000,US,0,US,M
2023,SE,FT,SE,100000,USD,100000,US,0,US,M
2023,SE,FT,SE,80000,USD,80000,US,0,US,M
2023,SE,FT,SE,250000,USD,250000,US,0,US,M
2023,SE,FT,SE,162500,USD,162500,US,0,US,M
2023,SE,FT,SE,145000,USD,145000,US,0,US,M
2023,SE,FT,SE,100000,USD,100000,US,0,US,M
2023,SE,FT,SE,203500,USD,203500,US,0,US,M
2023,SE,FT,SE,152000,USD,152000,US,0,US,M
2023,SE,FT,SE,239000,USD,239000,US,0,US,L
2023,SE,FT,SE,122900,USD,122900,US,0,US,L
2023,SE,FT,SE,237000,USD,237000,US,0,US,M
2023,SE,FT,SE,145000,USD,145000,US,0,US,M
2023,SE,FT,SE,191765,USD,191765,US,0,US,M
2023,SE,FT,SE,134236,USD,134236,US,0,US,M
2023,SE,FT,SE,190000,USD,190000,US,100,US,M
2023,SE,FT,SE,112000,USD,112000,US,100,US,M
2022,SE,FT,SE,84000,EUR,88256,ES,100,GB,L
2023,SE,FT,SE,135000,USD,135000,US,0,US,M
2023,SE,FT,SE,105500,USD,105500,US,0,US,M
2023,SE,FT,SE,293000,USD,293000,US,0,US,M
2023,SE,FT,SE,185000,USD,185000,US,0,US,M
2023,SE,FT,SE,80000,USD,80000,US,0,US,M
2023,SE,FT,SE,70000,USD,70000,US,0,US,M
2023,SE,FT,SE,220000,USD,220000,US,100,US,M
2023,SE,FT,SE,160000,USD,160000,US,100,US,M
2023,SE,FT,SE,175000,USD,175000,US,100,US,M
2023,SE,FT,SE,145000,USD,145000,US,100,US,M
2023,SE,FT,SE,200000,USD,200000,US,0,US,M
2023,SE,FT,SE,148500,USD,148500,US,0,US,M
2023,SE,FT,SE,45000,EUR,48289,ES,0,ES,M
2023,SE,FT,SE,36000,EUR,38631,ES,0,ES,M
2023,SE,FT,SE,240500,USD,240500,US,0,US,L
2023,SE,FT,SE,123700,USD,123700,US,0,US,L
2023,SE,FT,SE,152900,USD,152900,US,100,US,M
2023,SE,FT,SE,117100,USD,117100,US,100,US,M
2023,SE,FT,SE,173000,USD,173000,US,100,US,M
2023,SE,FT,SE,113000,USD,113000,US,100,US,M
2023,SE,FT,SE,260000,USD,260000,US,0,US,L
2023,SE,FT,SE,136000,USD,136000,US,0,US,L
2023,SE,FT,SE,260000,USD,260000,US,0,US,L
2023,SE,FT,SE,136000,USD,136000,US,0,US,L
2023,SE,FT,SE,130000,USD,130000,US,100,US,M
2023,SE,FT,SE,110000,USD,110000,US,100,US,M
2023,SE,FT,SE,205000,USD,205000,US,100,US,M
2023,SE,FT,SE,184000,USD,184000,US,100,US,M
2023,SE,FT,SE,149500,USD,149500,US,100,US,M
2023,SE,FT,SE,127075,USD,127075,US,100,US,M
2023,SE,FT,SE,195000,USD,195000,US,0,US,M
