work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L
2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M
2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,M
2022,SE,FT,AI Developer,275000,USD,275000,CA,0,CA,S
2023,SE,FT,AI Developer,108000,USD,108000,UA,0,UA,M
2023,SE,FT,AI Developer,60000,USD,60000,UA,0,UA,M
2023,EN,FT,AI Developer,80000,USD,80000,SE,50,SE,M
2023,EN,FT,AI Developer,200000,EUR,214618,DE,100,DE,L
2023,EN,FT,AI Developer,60000,EUR,64385,DE,0,DE,M
2023,EN,FT,AI Developer,120000,USD,120000,BA,50,BA,S
2022,EN,FT,AI Developer,6000,EUR,6304,MK,0,MK,S
