work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,AI Scientist,1500000,ILS,423834,IL,0,IL,L
2023,MI,FT,AI Scientist,36000,EUR,38631,ES,50,ES,L
2021,MI,FT,AI Scientist,30000,USD,30000,GH,0,GH,S
2022,SE,FT,AI Scientist,125000,USD,125000,CO,100,CO,L
2022,EN,FT,AI Scientist,200000,USD,200000,CA,50,CA,L
2022,EN,FT,AI Scientist,50000,USD,50000,US,100,US,M
2022,EN,FT,AI Scientist,30000,EUR,31520,PT,100,ES,M
2022,EX,FT,AI Scientist,200000,USD,200000,US,100,US,S
2022,MI,FT,AI Scientist,200000,USD,200000,US,100,US,M
2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L
2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S
2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S
2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S
