work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M
2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M
2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M
2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M
2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M
2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M
2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M
2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,M
2023,SE,FT,Analytics Engineer,152900,USD,152900,US,100,US,M
2023,SE,FT,Analytics Engineer,117100,USD,117100,US,100,US,M
2023,SE,FT,Analytics Engineer,173000,USD,173000,US,100,US,M
2023,SE,FT,Analytics Engineer,113000,USD,113000,US,100,US,M
2023,EX,FT,Analytics Engineer,221000,USD,221000,US,100,US,M
2023,EX,FT,Analytics Engineer,153000,USD,153000,US,100,US,M
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M
2023,SE,FT,Analytics Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Analytics Engineer,87000,USD,87000,US,0,US,M
2023,SE,FT,Analytics Engineer,275300,USD,275300,US,100,US,M
2023,SE,FT,Analytics Engineer,183500,USD,183500,US,100,US,M
2023,MI,FT,Analytics Engineer,185700,USD,185700,US,0,US,M
2023,MI,FT,Analytics Engineer,165000,USD,165000,US,0,US,M
2023,SE,FT,Analytics Engineer,170000,USD,170000,US,100,US,M
2023,SE,FT,Analytics Engineer,130000,USD,130000,US,100,US,M
2023,SE,FT,Analytics Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Analytics Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Analytics Engineer,197000,USD,197000,US,0,US,M
2023,SE,FT,Analytics Engineer,106000,USD,106000,US,0,US,M
2023,SE,FT,Analytics Engineer,175000,USD,175000,US,0,US,M
2023,SE,FT,Analytics Engineer,140000,USD,140000,US,0,US,M
2023,SE,FT,Analytics Engineer,200000,USD,200000,US,100,US,M
2023,SE,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
2023,SE,FT,Analytics Engineer,231250,USD,231250,US,100,US,M
2023,SE,FT,Analytics Engineer,138750,USD,138750,US,100,US,M
2023,SE,FT,Analytics Engineer,207000,USD,207000,US,0,US,M
2023,SE,FT,Analytics Engineer,167000,USD,167000,US,0,US,M
2022,MI,FT,Analytics Engineer,122500,USD,122500,US,100,US,M
2022,MI,FT,Analytics Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Analytics Engineer,170000,USD,170000,US,100,US,M
2022,SE,FT,Analytics Engineer,125000,USD,125000,US,100,US,M
2022,SE,FT,Analytics Engineer,135000,USD,135000,US,0,US,M
2022,SE,FT,Analytics Engineer,110000,USD,110000,US,0,US,M
2022,MI,FT,Analytics Engineer,85000,GBP,104663,GB,0,GB,M
2022,MI,FT,Analytics Engineer,60000,GBP,73880,GB,0,GB,M
2022,SE,FT,Analytics Engineer,193750,USD,193750,US,100,US,M
2022,SE,FT,Analytics Engineer,116250,USD,116250,US,100,US,M
2022,SE,FT,Analytics Engineer,231250,USD,231250,US,100,US,M
2022,SE,FT,Analytics Engineer,138750,USD,138750,US,100,US,M
2022,SE,FT,Analytics Engineer,231250,USD,231250,US,100,US,M
2022,SE,FT,Analytics Engineer,138750,USD,138750,US,100,US,M
2022,SE,FT,Analytics Engineer,84000,GBP,103432,GB,0,GB,M
2022,SE,FT,Analytics Engineer,75000,GBP,92350,GB,0,GB,M
2022,EX,FT,Analytics Engineer,210000,USD,210000,US,100,US,M
2022,EX,FT,Analytics Engineer,157000,USD,157000,US,100,US,M
2022,MI,FT,Analytics Engineer,78000,USD,78000,BR,100,BR,M
2022,MI,FT,Analytics Engineer,48000,USD,48000,BR,100,BR,M
2022,SE,FT,Analytics Engineer,150000,USD,150000,US,0,US,M
2022,SE,FT,Analytics Engineer,120000,USD,120000,US,0,US,M
2022,MI,FT,Analytics Engineer,108000,USD,108000,US,100,US,M
2022,MI,FT,Analytics Engineer,85000,USD,85000,US,100,US,M
2022,SE,FT,Analytics Engineer,130000,USD,130000,US,100,US,M
2022,SE,FT,Analytics Engineer,110000,USD,110000,US,100,US,M
2022,SE,FT,Analytics Engineer,130000,USD,130000,US,100,US,M
2022,SE,FT,Analytics Engineer,110000,USD,110000,US,100,US,M
2022,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M
2022,SE,FT,Analytics Engineer,140000,USD,140000,US,100,US,M
2022,SE,FT,Analytics Engineer,122500,USD,122500,US,100,US,M
2022,SE,FT,Analytics Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Analytics Engineer,165000,USD,165000,US,100,US,M
2022,SE,FT,Analytics Engineer,140250,USD,140250,US,100,US,M
2022,SE,FT,Analytics Engineer,83376,GBP,102663,GB,100,GB,M
2022,SE,FT,Analytics Engineer,65004,GBP,80041,GB,100,GB,M
2022,SE,FT,Analytics Engineer,250000,USD,250000,US,0,US,M
2022,SE,FT,Analytics Engineer,63000,USD,63000,US,0,US,M
2022,MI,CT,Analytics Engineer,7500,USD,7500,BO,50,BO,M
2022,SE,FT,Analytics Engineer,250000,USD,250000,US,0,US,M
2022,SE,FT,Analytics Engineer,63000,USD,63000,US,0,US,M
2022,SE,FT,Analytics Engineer,245000,USD,245000,US,0,US,M
2022,SE,FT,Analytics Engineer,180000,USD,180000,US,0,US,M
2022,SE,FT,Analytics Engineer,203500,USD,203500,US,0,US,M
2022,SE,FT,Analytics Engineer,152000,USD,152000,US,0,US,M
2022,EX,FT,Analytics Engineer,200000,USD,200000,US,100,US,M
2022,EX,FT,Analytics Engineer,150000,USD,150000,US,100,US,M
2022,SE,FT,Analytics Engineer,170000,USD,170000,US,100,US,M
2022,SE,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
