work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L
2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AU,100,FI,M
2023,MI,FT,Applied Data Scientist,80000,USD,80000,KE,100,KE,S
2022,EN,FT,Applied Data Scientist,40000,USD,40000,AU,100,PK,M
2022,EN,FT,Applied Data Scientist,50000,USD,50000,AT,50,AT,M
2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L
