work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,BI Data Analyst,67000,EUR,71897,DE,100,DE,M
2022,EN,FT,BI Data Analyst,58000,EUR,60938,DE,0,DE,L
2022,MI,FT,BI Data Analyst,100000,EUR,105066,FR,50,FR,M
2022,EN,FT,BI Data Analyst,57000,USD,57000,US,100,US,L
2022,MI,FT,BI Data Analyst,65000,AUD,45050,AU,50,AU,L
2022,EN,FT,BI Data Analyst,633000,INR,8050,IN,100,IN,M
2022,MI,FT,BI Data Analyst,77000,AUD,53368,AU,100,AU,M
2022,EN,FT,BI Data Analyst,32400,BRL,6270,BR,100,BR,L
2022,MI,FT,BI Data Analyst,48000,EUR,50432,DE,100,DE,S
2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L
2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
