work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,BI Developer,130000,USD,130000,US,100,US,L
2023,SE,FT,BI Developer,135000,USD,135000,US,100,US,M
2023,SE,FT,BI Developer,100000,USD,100000,US,100,US,M
2023,EN,FT,BI Developer,160000,USD,160000,US,0,US,M
2023,EN,FT,BI Developer,100000,USD,100000,US,0,US,M
2023,SE,FT,BI Developer,140000,USD,140000,US,100,US,M
2023,SE,FT,BI Developer,110000,USD,110000,US,100,US,M
2023,SE,FT,BI Developer,197000,USD,197000,US,0,US,M
2023,SE,FT,BI Developer,106000,USD,106000,US,0,US,M
2023,SE,FT,BI Developer,140000,USD,140000,US,100,US,M
2023,SE,FT,BI Developer,110000,USD,110000,US,100,US,M
2022,SE,FT,BI Developer,140000,USD,140000,US,100,US,M
2022,SE,FT,BI Developer,120000,USD,120000,US,100,US,M
