work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L
2023,EN,FT,Business Data Analyst,20000,EUR,21461,ES,0,ES,M
2022,MI,FT,Business Data Analyst,48000,BRL,9289,BR,100,BR,M
2022,EN,FT,Business Data Analyst,48000,USD,48000,US,50,US,L
2023,EN,FT,Business Data Analyst,12000,EUR,12877,GR,50,GR,L
2022,MI,FT,Business Data Analyst,1440000,INR,18314,IN,50,IN,L
2020,MI,FT,Business Data Analyst,95000,USD,95000,US,0,US,M
2022,MI,FT,Business Data Analyst,150000,USD,150000,US,100,US,L
2022,EN,FT,Business Data Analyst,50000,USD,50000,IN,100,AS,L
2022,SE,FT,Business Data Analyst,100000,USD,100000,US,100,US,L
2022,MI,FT,Business Data Analyst,1400000,INR,17805,IN,100,IN,M
2022,MI,FT,Business Data Analyst,90000,CAD,69133,CA,50,CA,L
2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
2021,EN,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L
2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
