work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M
2023,EN,FT,Computer Vision Engineer,220000,USD,220000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,200000,USD,200000,US,100,US,S
2022,MI,FT,Computer Vision Engineer,1250000,INR,15897,IN,100,IN,M
2023,SE,FT,Computer Vision Engineer,235000,USD,235000,US,0,US,M
2023,SE,FT,Computer Vision Engineer,185000,USD,185000,US,0,US,M
2022,MI,FT,Computer Vision Engineer,56000,EUR,58837,FR,100,FR,S
2022,EN,FT,Computer Vision Engineer,10000,USD,10000,PT,100,LU,M
2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S
2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S
2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M
