work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Analytics Manager,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2023,EX,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2023,EX,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Analytics Manager,204500,USD,204500,US,0,US,M
2023,SE,FT,Data Analytics Manager,138900,USD,138900,US,0,US,M
2022,SE,FT,Data Analytics Manager,133000,USD,133000,NL,0,NL,L
2022,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2022,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M
2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M
2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
