work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Architect,250500,USD,250500,US,0,US,M
2023,SE,FT,Data Architect,159500,USD,159500,US,0,US,M
2023,EX,FT,Data Architect,180000,USD,180000,US,0,US,M
2023,EX,FT,Data Architect,155000,USD,155000,US,0,US,M
2023,MI,FT,Data Architect,167500,USD,167500,US,0,US,M
2023,MI,FT,Data Architect,106500,USD,106500,US,0,US,M
2023,SE,FT,Data Architect,170000,USD,170000,US,100,US,M
2023,SE,FT,Data Architect,125000,USD,125000,US,100,US,M
2023,MI,FT,Data Architect,167500,USD,167500,US,0,US,M
2023,MI,FT,Data Architect,106500,USD,106500,US,0,US,M
2023,SE,FT,Data Architect,149040,USD,149040,US,100,US,M
2023,SE,FT,Data Architect,113900,USD,113900,US,100,US,M
2023,SE,FT,Data Architect,376080,USD,376080,US,100,US,M
2023,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
2023,SE,FT,Data Architect,138000,USD,138000,GB,100,GB,M
2023,SE,FT,Data Architect,92000,USD,92000,GB,100,GB,M
2023,SE,FT,Data Architect,149040,USD,149040,US,100,US,M
2023,SE,FT,Data Architect,113900,USD,113900,US,100,US,M
2023,SE,FT,Data Architect,188500,USD,188500,US,100,US,M
2023,SE,FT,Data Architect,117000,USD,117000,US,100,US,M
2023,SE,FT,Data Architect,168400,USD,168400,US,0,US,M
2023,SE,FT,Data Architect,105200,USD,105200,US,0,US,M
2023,SE,FT,Data Architect,228000,USD,228000,US,0,US,M
2023,SE,FT,Data Architect,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Architect,198000,USD,198000,US,100,US,M
2023,SE,FT,Data Architect,114000,USD,114000,US,100,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Architect,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Architect,174500,USD,174500,US,0,US,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2023,SE,FT,Data Architect,174500,USD,174500,US,0,US,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2023,SE,FT,Data Architect,174500,USD,174500,US,0,US,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Architect,174500,USD,174500,US,0,US,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2023,SE,FT,Data Architect,174500,USD,174500,US,0,US,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
