work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Manager,198800,USD,198800,US,0,US,M
2023,SE,FT,Data Manager,105200,USD,105200,US,0,US,M
2023,SE,FT,Data Manager,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Manager,86000,USD,86000,US,100,US,M
2023,MI,FT,Data Manager,135000,USD,135000,US,0,US,M
2023,MI,FT,Data Manager,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Manager,65000,USD,65000,CO,0,CO,M
2023,SE,FT,Data Manager,48000,USD,48000,CO,0,CO,M
2023,SE,FT,Data Manager,155000,USD,155000,US,0,US,M
2023,SE,FT,Data Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Manager,60027,GBP,72946,GB,0,GB,M
2023,SE,FT,Data Manager,44737,GBP,54365,GB,0,GB,M
2023,SE,FT,Data Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Manager,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Manager,169000,USD,169000,US,0,US,M
2023,SE,FT,Data Manager,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Manager,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Manager,199000,USD,199000,US,0,US,M
2023,SE,FT,Data Manager,112000,USD,112000,US,0,US,M
2023,SE,FT,Data Manager,168400,USD,168400,US,0,US,M
2023,SE,FT,Data Manager,105200,USD,105200,US,0,US,M
2022,EN,FT,Data Manager,77300,USD,77300,US,100,US,M
2022,EN,FT,Data Manager,45600,USD,45600,US,100,US,M
2022,MI,FT,Data Manager,134000,USD,134000,US,0,US,M
2022,MI,FT,Data Manager,98000,USD,98000,US,0,US,M
2022,EX,FT,Data Manager,164000,CAD,125976,CA,50,CA,L
2022,MI,FT,Data Manager,134000,USD,134000,US,0,US,M
2022,MI,FT,Data Manager,98000,USD,98000,US,0,US,M
