work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Operations Engineer,193000,USD,193000,US,100,US,M
2023,SE,FT,Data Operations Engineer,136850,USD,136850,US,100,US,M
2022,SE,FT,Data Operations Engineer,105000,USD,105000,US,0,US,M
2022,SE,FT,Data Operations Engineer,70000,USD,70000,US,0,US,M
2022,MI,FT,Data Operations Engineer,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Operations Engineer,60000,USD,60000,US,100,US,M
2022,MI,FT,Data Operations Engineer,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Operations Engineer,60000,USD,60000,US,100,US,M
2022,MI,FT,Data Operations Engineer,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Operations Engineer,60000,USD,60000,US,100,US,M
