work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Data Science Consultant,90000,USD,90000,US,0,US,M
2023,MI,FT,Data Science Consultant,70000,USD,70000,US,0,US,M
2023,SE,FT,Data Science Consultant,1000000,THB,29453,TH,50,TH,M
2023,SE,FT,Data Science Consultant,122000,USD,122000,US,0,US,M
2023,SE,FT,Data Science Consultant,94000,USD,94000,US,0,US,M
2023,SE,FT,Data Science Consultant,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Science Consultant,128000,USD,128000,US,0,US,M
2022,SE,FT,Data Science Consultant,122000,USD,122000,US,0,US,M
2022,SE,FT,Data Science Consultant,94500,USD,94500,US,0,US,M
2022,SE,FT,Data Science Consultant,145000,USD,145000,US,0,US,M
2022,SE,FT,Data Science Consultant,128000,USD,128000,US,0,US,M
2022,EN,FT,Data Science Consultant,23000,EUR,24165,IT,50,IT,M
2022,MI,FT,Data Science Consultant,57000,GBP,70186,GB,0,GB,M
2022,MI,FT,Data Science Consultant,42000,GBP,51716,GB,0,GB,M
2022,EN,FT,Data Science Consultant,26000,EUR,27317,ES,50,ES,L
2022,SE,FT,Data Science Consultant,139000,USD,139000,US,0,US,M
2022,SE,FT,Data Science Consultant,122000,USD,122000,US,0,US,M
2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S
2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L
2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S
2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M
