work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,M
2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2023,MI,FT,Data Science Manager,104500,USD,104500,US,0,US,M
2023,MI,FT,Data Science Manager,70000,USD,70000,US,0,US,M
2022,EX,FT,Data Science Manager,106000,USD,106000,UZ,0,RU,L
2023,SE,FT,Data Science Manager,150000,USD,150000,MX,100,MX,M
2023,SE,FT,Data Science Manager,90000,USD,90000,MX,100,MX,M
2023,SE,FT,Data Science Manager,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Science Manager,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2023,SE,FT,Data Science Manager,231250,USD,231250,US,100,US,M
2023,SE,FT,Data Science Manager,138750,USD,138750,US,100,US,M
2023,MI,FT,Data Science Manager,220000,USD,220000,US,0,US,M
2023,MI,FT,Data Science Manager,195000,USD,195000,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2023,SE,FT,Data Science Manager,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Science Manager,198200,USD,198200,US,100,US,M
2022,SE,FT,Data Science Manager,175000,USD,175000,US,0,US,M
2022,SE,FT,Data Science Manager,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2022,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2022,SE,FT,Data Science Manager,247500,USD,247500,US,0,US,M
2022,SE,FT,Data Science Manager,172200,USD,172200,US,0,US,M
2022,SE,FT,Data Science Manager,243225,USD,243225,US,100,US,M
2022,SE,FT,Data Science Manager,179775,USD,179775,US,100,US,M
2022,EX,FT,Data Science Manager,222640,USD,222640,US,0,US,M
2022,EX,FT,Data Science Manager,182160,USD,182160,US,0,US,M
2022,MI,FT,Data Science Manager,158000,USD,158000,US,100,US,M
2022,MI,FT,Data Science Manager,134000,USD,134000,US,100,US,M
2022,SE,FT,Data Science Manager,206000,USD,206000,US,100,US,M
2022,SE,FT,Data Science Manager,175100,USD,175100,US,100,US,M
2022,SE,FT,Data Science Manager,189500,USD,189500,US,100,US,L
2022,SE,FT,Data Science Manager,140100,USD,140100,US,100,US,L
2022,EX,FT,Data Science Manager,260500,USD,260500,US,0,US,M
2022,EX,FT,Data Science Manager,175100,USD,175100,US,0,US,M
2022,SE,FT,Data Science Manager,249260,USD,249260,US,0,US,M
2022,SE,FT,Data Science Manager,185400,USD,185400,US,0,US,M
2022,SE,FT,Data Science Manager,193000,AUD,133766,AU,100,AU,L
2022,SE,FT,Data Science Manager,300000,USD,300000,US,100,US,M
2022,SE,FT,Data Science Manager,200000,USD,200000,US,100,US,M
2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L
2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
2021,SE,FT,Data Science Manager,7000000,INR,94665,IN,50,IN,L
