work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Data Specialist,130000,USD,130000,US,0,US,M
2023,MI,FT,Data Specialist,80000,USD,80000,US,0,US,M
2022,SE,FT,Data Specialist,110000,USD,110000,US,0,US,M
2022,SE,FT,Data Specialist,70000,USD,70000,US,0,US,M
2022,SE,FT,Data Specialist,110000,USD,110000,US,0,US,M
2022,SE,FT,Data Specialist,70000,USD,70000,US,0,US,M
2022,MI,FT,Data Specialist,165000,USD,165000,US,0,US,M
2022,MI,FT,Data Specialist,135000,USD,135000,US,0,US,M
2022,EN,FT,Data Specialist,105000,USD,105000,CL,100,US,L
2022,SE,FT,Data Specialist,95000,USD,95000,US,100,US,M
2022,SE,FT,Data Specialist,70000,USD,70000,US,100,US,M
2022,SE,FT,Data Specialist,221300,USD,221300,US,100,US,L
2022,SE,FT,Data Specialist,148700,USD,148700,US,100,US,L
2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
