work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,ETL Developer,250000,USD,250000,US,100,US,M
2022,SE,FT,ETL Developer,63000,USD,63000,US,100,US,M
2022,SE,FT,ETL Developer,250000,USD,250000,US,100,US,M
2022,SE,FT,ETL Developer,63000,USD,63000,US,100,US,M
2022,SE,FT,ETL Developer,146200,USD,146200,US,100,US,M
2022,SE,FT,ETL Developer,124270,USD,124270,US,100,US,M
2022,SE,FT,ETL Developer,250000,USD,250000,US,0,US,M
2022,SE,FT,ETL Developer,63000,USD,63000,US,0,US,M
2022,MI,FT,ETL Developer,50000,EUR,52533,GR,0,GR,M
2022,MI,FT,ETL Developer,50000,EUR,52533,GR,0,GR,M
