work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,['L'],80000,EUR,85847,ES,100,ES,L
2023,SE,FT,['L'],222200,USD,222200,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2023,EN,FT,['L'],213660,USD,213660,US,0,US,L
2023,EN,FT,['L'],130760,USD,130760,US,0,US,L
2023,EN,FT,['L'],100000,USD,100000,NG,100,NG,L
2023,EN,FT,['L'],30000,USD,30000,NG,100,NG,L
2022,MI,FT,['L'],1650000,INR,20984,IN,50,IN,L
2023,EN,FT,['L'],204620,USD,204620,US,0,US,L
2023,EN,FT,['L'],110680,USD,110680,US,0,US,L
2023,SE,FT,['L'],309400,USD,309400,US,0,US,L
2023,SE,FT,['L'],159100,USD,159100,US,0,US,L
2023,MI,FT,['L'],510000,HKD,65062,HK,0,HK,L
2022,EN,FT,['L'],300000,USD,300000,IN,50,IN,L
2023,MI,FT,['L'],90000,EUR,96578,NL,100,NL,L
2023,SE,FT,['L'],202800,USD,202800,US,0,US,L
2023,SE,FT,['L'],104300,USD,104300,US,0,US,L
2023,EN,FT,['L'],220000,USD,220000,US,50,US,L
2023,SE,FT,['L'],342300,USD,342300,US,0,US,L
2023,SE,FT,['L'],176100,USD,176100,US,0,US,L
2023,MI,FT,['L'],105000,USD,105000,US,50,US,L
2023,MI,FT,['L'],1700000,INR,20670,IN,100,IN,L
2023,SE,FT,['L'],309400,USD,309400,US,0,US,L
2023,SE,FT,['L'],159100,USD,159100,US,0,US,L
2023,SE,FT,['L'],222200,USD,222200,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2023,EN,FT,['L'],1400000,INR,17022,IN,100,IN,L
2023,SE,FT,['L'],239000,USD,239000,US,0,US,L
2023,SE,FT,['L'],122900,USD,122900,US,0,US,L
2022,SE,FT,['L'],84000,EUR,88256,ES,100,GB,L
2023,SE,FT,['L'],240500,USD,240500,US,0,US,L
2023,SE,FT,['L'],123700,USD,123700,US,0,US,L
2023,SE,FT,['L'],260000,USD,260000,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2023,SE,FT,['L'],260000,USD,260000,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2023,SE,FT,['L'],222200,USD,222200,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2023,EN,FT,['L'],55000,CAD,40663,CA,0,CA,L
2023,EN,FT,['L'],70000,CAD,51753,CA,100,CA,L
2023,EN,FT,['L'],213660,USD,213660,US,0,US,L
2023,EN,FT,['L'],130760,USD,130760,US,0,US,L
2023,MI,FT,['L'],68000,USD,68000,US,0,US,L
2023,SE,FT,['L'],222200,USD,222200,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2023,SE,FT,['L'],260000,USD,260000,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2022,EN,FT,['L'],57000,EUR,59888,NL,100,NL,L
2023,MI,FT,['L'],135000,USD,135000,US,50,US,L
2023,SE,FT,['L'],1500000,ILS,423834,IL,0,IL,L
2023,EN,FT,['L'],112000,CHF,121093,CH,50,CH,L
2022,SE,FT,['L'],164000,EUR,172309,IE,100,IE,L
2023,SE,FT,['L'],205600,USD,205600,US,0,US,L
2023,SE,FT,['L'],105700,USD,105700,US,0,US,L
2023,SE,FT,['L'],170000,USD,170000,US,100,US,L
2023,SE,FT,['L'],90000,USD,90000,US,100,US,L
2023,SE,FT,['L'],222200,USD,222200,US,0,US,L
2023,SE,FT,['L'],136000,USD,136000,US,0,US,L
2023,MI,FT,['L'],130000,USD,130000,US,100,US,L
2023,MI,FT,['L'],100000,SGD,75020,SG,100,SG,L
2023,MI,FT,['L'],1400000,INR,17022,IN,100,IN,L
2023,EN,FT,['L'],70000,USD,70000,IN,0,AU,L
2023,MI,FT,['L'],1500000,INR,18238,IN,50,IN,L
2022,SE,FT,['L'],130000,USD,130000,US,100,US,L
2023,SE,FT,['L'],115000,EUR,123405,DE,0,DE,L
2023,EN,FT,['L'],200000,EUR,214618,DE,100,DE,L
2023,EN,FT,['L'],100000,USD,100000,UZ,100,US,L
2023,SE,FT,['L'],70000,EUR,75116,PT,100,PT,L
2022,EX,FT,['L'],106000,USD,106000,UZ,0,RU,L
2023,MI,FT,['L'],40000,USD,40000,FR,50,FR,L
2022,SE,FT,['L'],192000,USD,192000,US,100,US,L
2023,MI,FT,['L'],36000,EUR,38631,ES,50,ES,L
2023,MI,FT,['L'],95000,GBP,115447,GB,100,GB,L
2023,EN,PT,['L'],78000,PLN,17779,PL,100,IN,L
2023,EN,FT,['L'],101400,BRL,19522,BR,100,BR,L
2023,EN,FT,['L'],60000,USD,60000,US,100,US,L
2023,EN,FT,['L'],50000,USD,50000,KW,50,US,L
2023,SE,FT,['L'],124999,GBP,151902,GB,100,GB,L
2023,EN,FT,['L'],800000,INR,9727,IN,0,IN,L
2023,EN,FT,['L'],12000,USD,12000,VN,0,VN,L
2023,MI,FT,['L'],1350000,INR,16414,IN,100,IN,L
2023,SE,FT,['L'],50000,EUR,53654,NL,100,CA,L
2023,SE,FT,['L'],100000,USD,100000,NL,50,NL,L
2023,EN,FT,['L'],1050000,INR,12767,IN,50,IN,L
2023,EN,FT,['L'],25000,EUR,26827,DE,100,DE,L
2022,MI,FT,['L'],23000,USD,23000,IN,100,IN,L
2023,MI,FT,['L'],110000,USD,110000,US,100,US,L
2023,SE,FT,['L'],350000,USD,350000,US,0,US,L
2023,SE,FT,['L'],262500,USD,262500,US,0,US,L
2022,MI,FT,['L'],155000,USD,155000,US,100,US,L
2021,EN,FT,['L'],90000,SGD,66970,SG,50,SG,L
2023,SE,FT,['L'],59000,EUR,63312,CY,50,EE,L
2023,MI,FT,['L'],5000000,INR,60795,IN,50,IN,L
2023,SE,FT,['L'],240500,USD,240500,US,0,US,L
2023,SE,FT,['L'],123700,USD,123700,US,0,US,L
2022,SE,FT,['L'],80000,EUR,84053,FR,50,FR,L
2022,EN,FT,['L'],48000,USD,48000,US,50,US,L
2023,EN,FT,['L'],12000,EUR,12877,GR,50,GR,L
2023,SE,FT,['L'],205600,USD,205600,US,0,US,L
2023,SE,FT,['L'],105700,USD,105700,US,0,US,L
2023,MI,FT,['L'],50000,EUR,53654,RO,50,RO,L
2023,MI,FT,['L'],840000,THB,24740,TH,50,TH,L
2022,MI,FT,['L'],110000,USD,110000,US,100,US,L
2023,MI,FT,['L'],219000,USD,219000,US,50,US,L
2023,SE,FT,['L'],126100,USD,126100,US,0,US,L
2023,SE,FT,['L'],72000,USD,72000,US,0,US,L
2023,MI,FT,['L'],60000,GBP,72914,GB,0,GB,L
2022,EN,PT,['L'],24000,EUR,25216,ES,100,US,L
2021,SE,FT,['L'],4000000,INR,54094,IN,100,IN,L
2022,MI,FT,['L'],1440000,INR,18314,IN,50,IN,L
2022,SE,FT,['L'],133000,USD,133000,NL,0,NL,L
2022,MI,FT,['L'],1125000,INR,14307,IN,100,IN,L
2023,SE,FT,['L'],261500,USD,261500,US,0,US,L
2023,SE,FT,['L'],134500,USD,134500,US,0,US,L
2022,MI,FT,['L'],1100000,INR,13989,IN,100,IN,L
2022,SE,FT,['L'],125000,USD,125000,US,100,US,L
2022,SE,FT,['L'],4460000,INR,56723,IN,0,IN,L
2022,MI,FT,['L'],2800000,INR,35610,IN,50,IN,L
2022,SE,FT,['L'],125000,USD,125000,CO,100,CO,L
2022,EN,FT,['L'],58000,EUR,60938,DE,0,DE,L
2022,EN,FT,['L'],50000,USD,50000,US,50,US,L
2021,MI,FT,['L'],1250000,INR,16904,IN,50,IN,L
2022,EN,FT,['L'],200000,USD,200000,CA,50,CA,L
2022,EN,FT,['L'],12000,USD,12000,AR,100,AR,L
2022,EN,FT,['L'],50000,USD,50000,US,50,US,L
2022,SE,FT,['L'],190000,USD,190000,US,100,US,L
2022,SE,FT,['L'],171000,USD,171000,US,100,AU,L
2022,MI,FT,['L'],137000,CAD,105236,CA,50,CA,L
2022,EN,FT,['L'],63000,EUR,66192,DE,50,DE,L
2022,SE,FT,['L'],230000,USD,230000,US,0,US,L
2022,SE,FT,['L'],154600,USD,154600,US,0,US,L
2022,MI,FT,['L'],80000,USD,80000,US,100,US,L
2022,EN,FT,['L'],26000,EUR,27317,ES,50,ES,L
2022,SE,FT,['L'],65000,EUR,68293,IT,0,IT,L
2022,SE,FT,['L'],375000,USD,375000,US,50,US,L
2022,EN,PT,['L'],12000,USD,12000,MX,100,US,L
2022,MI,FT,['L'],100000,CHF,104697,CH,100,CH,L
2022,MI,FT,['L'],85000,EUR,89306,AT,50,AT,L
2022,SE,FT,['L'],198440,USD,198440,US,0,US,L
2022,SE,FT,['L'],144000,USD,144000,US,0,US,L
2022,EN,FT,['L'],64000,USD,64000,US,100,US,L
2022,EN,FT,['L'],38000,EUR,39925,FR,50,FR,L
2022,EN,FT,['L'],76000,USD,76000,US,50,US,L
2022,SE,FT,['L'],202800,USD,202800,US,0,US,L
2022,SE,FT,['L'],104300,USD,104300,US,0,US,L
2022,MI,FT,['L'],30000,USD,30000,MX,100,MX,L
2022,SE,FT,['L'],205600,USD,205600,US,0,US,L
2022,SE,FT,['L'],105700,USD,105700,US,0,US,L
2022,EN,FT,['L'],80000,USD,80000,US,100,US,L
2022,EN,FT,['L'],96000,CAD,73742,CA,100,CA,L
2022,EN,FT,['L'],27000,GBP,33246,GB,50,GB,L
2021,EN,FT,['L'],400000,INR,5409,IN,50,IN,L
2021,MI,FT,['L'],100000,AUD,75050,AU,50,AU,L
2022,SE,FT,['L'],8000,USD,8000,IN,100,SG,L
2022,MI,FT,['L'],148500,USD,148500,US,100,US,L
2022,MI,FT,['L'],98200,USD,98200,US,100,US,L
2022,EN,FT,['L'],57000,USD,57000,US,100,US,L
2022,MI,FT,['L'],120000,AUD,83171,AU,0,AU,L
2022,SE,FT,['L'],3000000,INR,38154,IN,100,IN,L
2022,MI,FT,['L'],108000,USD,108000,US,50,US,L
2022,EX,FT,['L'],164000,CAD,125976,CA,50,CA,L
2022,SE,FT,['L'],156868,USD,156868,US,100,US,L
2022,SE,FT,['L'],198440,USD,198440,US,0,US,L
2022,SE,FT,['L'],144000,USD,144000,US,0,US,L
2022,SE,FT,['L'],66000,EUR,69344,PT,100,PT,L
2022,MI,FT,['L'],65000,AUD,45050,AU,50,AU,L
2021,EN,FT,['L'],56000,AUD,42028,AU,50,AU,L
2022,MI,FT,['L'],135000,USD,135000,US,100,US,L
2022,SE,FT,['L'],178800,USD,178800,US,100,US,L
2022,SE,FT,['L'],132100,USD,132100,US,100,US,L
2022,SE,FT,['L'],229998,USD,229998,US,0,US,L
2022,SE,FT,['L'],154545,USD,154545,US,0,US,L
2022,SE,FT,['L'],215000,USD,215000,US,0,US,L
2022,SE,FT,['L'],159000,USD,159000,US,0,US,L
2022,SE,FT,['L'],229998,USD,229998,US,0,US,L
2022,SE,FT,['L'],154545,USD,154545,US,0,US,L
2022,SE,FT,['L'],183000,USD,183000,US,100,US,L
2022,SE,FT,['L'],236900,USD,236900,US,100,US,L
2022,SE,FT,['L'],159200,USD,159200,US,100,US,L
2022,SE,FT,['L'],195400,USD,195400,US,100,US,L
2022,SE,FT,['L'],131300,USD,131300,US,100,US,L
2022,EN,FT,['L'],105000,USD,105000,CL,100,US,L
2022,MI,FT,['L'],150000,USD,150000,US,100,US,L
2022,SE,FT,['L'],195400,USD,195400,US,100,US,L
2022,SE,FT,['L'],131300,USD,131300,US,100,US,L
2022,SE,FT,['L'],195400,USD,195400,US,100,US,L
2022,SE,FT,['L'],131300,USD,131300,US,100,US,L
2022,SE,FT,['L'],195400,USD,195400,US,100,US,L
2022,SE,FT,['L'],131300,USD,131300,US,100,US,L
2022,SE,FT,['L'],178800,USD,178800,US,100,US,L
2022,SE,FT,['L'],132100,USD,132100,US,100,US,L
2022,EN,FT,['L'],50000,USD,50000,IN,100,AS,L
2022,SE,FT,['L'],180000,USD,180000,US,100,US,L
2022,SE,FT,['L'],165000,USD,165000,US,100,US,L
2022,SE,FT,['L'],108000,USD,108000,US,0,US,L
2021,EN,FT,['L'],15000,USD,15000,TH,100,TH,L
2022,EN,FT,['L'],40300,BRL,7799,BR,100,BR,L
2022,SE,FT,['L'],55000,EUR,57786,FR,50,FR,L
2021,EN,FT,['L'],33000,GBP,45390,GB,50,GB,L
2022,MI,FT,['L'],97500,USD,97500,US,100,US,L
2022,MI,FT,['L'],70000,EUR,73546,NL,50,NL,L
2022,EN,FT,['L'],500000,INR,6359,FR,100,IN,L
2022,SE,FT,['L'],115000,USD,115000,US,0,US,L
2022,EN,FT,['L'],46000,USD,46000,US,100,US,L
