work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,['M'],175000,USD,175000,CA,100,CA,M
2023,SE,FT,['M'],120000,USD,120000,CA,100,CA,M
2023,SE,FT,['M'],219000,USD,219000,CA,0,CA,M
2023,SE,FT,['M'],141000,USD,141000,CA,0,CA,M
2023,SE,FT,['M'],147100,USD,147100,US,0,US,M
2023,SE,FT,['M'],90700,USD,90700,US,0,US,M
2023,SE,FT,['M'],130000,USD,130000,US,100,US,M
2023,SE,FT,['M'],100000,USD,100000,US,100,US,M
2023,SE,FT,['M'],147100,USD,147100,US,0,US,M
2023,SE,FT,['M'],90700,USD,90700,US,0,US,M
2023,SE,FT,['M'],170000,USD,170000,US,0,US,M
2023,SE,FT,['M'],150000,USD,150000,US,0,US,M
2023,MI,FT,['M'],150000,USD,150000,US,100,US,M
2023,MI,FT,['M'],110000,USD,110000,US,100,US,M
2023,SE,FT,['M'],275000,USD,275000,DE,0,DE,M
2023,SE,FT,['M'],174000,USD,174000,DE,0,DE,M
2023,SE,FT,['M'],230000,USD,230000,GB,100,GB,M
2023,SE,FT,['M'],143200,USD,143200,GB,100,GB,M
2023,SE,FT,['M'],225000,USD,225000,US,0,US,M
2023,SE,FT,['M'],156400,USD,156400,US,0,US,M
2023,SE,FT,['M'],200000,USD,200000,US,0,US,M
2023,SE,FT,['M'],130000,USD,130000,US,0,US,M
2023,SE,FT,['M'],90000,USD,90000,CA,0,CA,M
2023,SE,FT,['M'],72000,USD,72000,CA,0,CA,M
2023,SE,FT,['M'],253200,USD,253200,US,0,US,M
2023,SE,FT,['M'],90700,USD,90700,US,0,US,M
2023,SE,FT,['M'],342810,USD,342810,US,0,US,M
2023,SE,FT,['M'],184590,USD,184590,US,0,US,M
2023,MI,FT,['M'],162500,USD,162500,US,0,US,M
2023,MI,FT,['M'],130000,USD,130000,US,0,US,M
2023,MI,FT,['M'],105380,USD,105380,US,0,US,M
2023,MI,FT,['M'],64500,USD,64500,US,0,US,M
2023,SE,FT,['M'],270703,USD,270703,US,0,US,M
2023,SE,FT,['M'],221484,USD,221484,US,0,US,M
2023,SE,FT,['M'],212750,USD,212750,US,100,US,M
2023,SE,FT,['M'],185000,USD,185000,US,100,US,M
2023,SE,FT,['M'],262000,USD,262000,US,100,US,M
2023,SE,FT,['M'],245000,USD,245000,US,100,US,M
2023,SE,FT,['M'],275300,USD,275300,US,100,US,M
2023,SE,FT,['M'],183500,USD,183500,US,100,US,M
2023,SE,FT,['M'],218500,USD,218500,US,100,US,M
2023,SE,FT,['M'],199098,USD,199098,US,100,US,M
2023,SE,FT,['M'],203300,USD,203300,US,100,US,M
2023,SE,FT,['M'],123600,USD,123600,US,100,US,M
2023,SE,FT,['M'],189110,USD,189110,US,0,US,M
2023,SE,FT,['M'],139000,USD,139000,US,0,US,M
2023,EX,FT,['M'],258750,USD,258750,US,0,US,M
2023,EX,FT,['M'],185000,USD,185000,US,0,US,M
2023,SE,FT,['M'],231500,USD,231500,US,100,US,M
2023,SE,FT,['M'],166000,USD,166000,US,100,US,M
2023,SE,FT,['M'],172500,USD,172500,US,100,US,M
2023,SE,FT,['M'],110500,USD,110500,US,100,US,M
2023,SE,FT,['M'],238000,USD,238000,US,0,US,M
2023,SE,FT,['M'],176000,USD,176000,US,0,US,M
2023,SE,FT,['M'],237000,USD,237000,US,100,US,M
2023,SE,FT,['M'],201450,USD,201450,US,100,US,M
2023,SE,FT,['M'],115000,USD,115000,US,0,US,M
2023,SE,FT,['M'],81500,USD,81500,US,0,US,M
2023,SE,FT,['M'],237000,USD,237000,US,100,US,M
2023,SE,FT,['M'],201450,USD,201450,US,100,US,M
2023,SE,FT,['M'],280000,USD,280000,US,0,US,M
2023,SE,FT,['M'],210000,USD,210000,US,0,US,M
2023,SE,FT,['M'],280100,USD,280100,US,100,US,M
2023,SE,FT,['M'],168100,USD,168100,US,100,US,M
2023,SE,FT,['M'],193500,USD,193500,US,100,US,M
2023,SE,FT,['M'],139000,USD,139000,US,100,US,M
2023,SE,FT,['M'],150000,USD,150000,PT,100,US,M
2023,SE,FT,['M'],185900,USD,185900,US,0,US,M
2023,SE,FT,['M'],129300,USD,129300,US,0,US,M
2023,SE,FT,['M'],225000,USD,225000,US,100,US,M
2023,SE,FT,['M'],175000,USD,175000,US,100,US,M
2023,SE,FT,['M'],185000,USD,185000,US,0,US,M
2023,SE,FT,['M'],140000,USD,140000,US,0,US,M
2023,SE,FT,['M'],45000,EUR,48289,ES,0,ES,M
2023,SE,FT,['M'],36000,EUR,38631,ES,0,ES,M
2023,SE,FT,['M'],105000,USD,105000,US,0,US,M
2023,SE,FT,['M'],70000,USD,70000,US,0,US,M
2023,EN,FT,['M'],163196,USD,163196,US,0,US,M
2023,EN,FT,['M'],145885,USD,145885,US,0,US,M
2023,SE,FT,['M'],217000,USD,217000,US,100,US,M
2023,SE,FT,['M'],185000,USD,185000,US,100,US,M
2023,SE,FT,['M'],145000,USD,145000,US,0,US,M
2023,SE,FT,['M'],65000,USD,65000,US,0,US,M
