work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S
2023,MI,FT,ML Engineer,160000,USD,160000,US,0,US,M
2023,MI,FT,ML Engineer,147000,USD,147000,US,0,US,M
2023,SE,FT,ML Engineer,260000,USD,260000,CA,100,CA,M
2023,SE,FT,ML Engineer,110000,USD,110000,CA,100,CA,M
2023,SE,FT,ML Engineer,220000,USD,220000,US,0,US,M
2023,SE,FT,ML Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,ML Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,ML Engineer,135000,USD,135000,US,0,US,M
2023,SE,FT,ML Engineer,234100,USD,234100,US,100,US,M
2023,SE,FT,ML Engineer,203500,USD,203500,US,100,US,M
2023,SE,FT,ML Engineer,289076,USD,289076,US,0,US,M
2023,SE,FT,ML Engineer,202353,USD,202353,US,0,US,M
2022,SE,FT,ML Engineer,235000,USD,235000,US,100,US,M
2022,SE,FT,ML Engineer,185000,USD,185000,US,100,US,M
2022,SE,FT,ML Engineer,243000,USD,243000,US,100,US,M
2022,SE,FT,ML Engineer,183000,USD,183000,US,100,US,M
2022,MI,FT,ML Engineer,180000,USD,180000,US,100,US,M
2022,MI,FT,ML Engineer,100000,USD,100000,US,100,US,M
2022,MI,FT,ML Engineer,148500,USD,148500,US,100,US,L
2022,MI,FT,ML Engineer,98200,USD,98200,US,100,US,L
2022,SE,FT,ML Engineer,195400,USD,195400,US,100,US,L
2022,SE,FT,ML Engineer,131300,USD,131300,US,100,US,L
2022,SE,FT,ML Engineer,130000,USD,130000,US,100,US,M
2022,SE,FT,ML Engineer,84000,USD,84000,US,100,US,M
2022,SE,FT,ML Engineer,240000,USD,240000,US,0,US,M
2022,SE,FT,ML Engineer,160000,USD,160000,US,0,US,M
2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
2022,EN,FT,ML Engineer,20000,EUR,21013,PT,100,PT,L
2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
