work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M
2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L
2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M
2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M
2023,MI,FT,Machine Learning Engineer,280700,USD,280700,US,100,US,M
2023,MI,FT,Machine Learning Engineer,150450,USD,150450,US,100,US,M
2023,SE,FT,Machine Learning Engineer,257000,USD,257000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,147000,USD,147000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,304000,USD,304000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,199000,USD,199000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,289076,USD,289076,US,0,US,M
2023,SE,FT,Machine Learning Engineer,202353,USD,202353,US,0,US,M
2023,SE,FT,Machine Learning Engineer,241000,USD,241000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,181000,USD,181000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,125000,USD,125000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,115000,USD,115000,CA,100,CA,M
2023,SE,FT,Machine Learning Engineer,95000,USD,95000,CA,100,CA,M
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M
