work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Machine Learning Scientist,230000,USD,230000,US,0,US,M
2023,MI,FT,Machine Learning Scientist,220000,USD,220000,US,0,US,M
2023,SE,FT,Machine Learning Scientist,220000,USD,220000,US,0,US,M
2023,SE,FT,Machine Learning Scientist,170000,USD,170000,US,0,US,M
2023,MI,FT,Machine Learning Scientist,200000,USD,200000,US,0,US,S
2023,MI,FT,Machine Learning Scientist,125000,USD,125000,US,0,US,S
2023,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,M
2023,SE,FT,Machine Learning Scientist,165750,USD,165750,US,100,US,M
2022,MI,FT,Machine Learning Scientist,165000,USD,165000,US,0,US,M
2022,MI,FT,Machine Learning Scientist,135000,USD,135000,US,0,US,M
2022,EN,FT,Machine Learning Scientist,33000,EUR,34672,IT,100,DE,S
2022,SE,FT,Machine Learning Scientist,193900,USD,193900,US,0,US,M
2022,SE,FT,Machine Learning Scientist,129300,USD,129300,US,0,US,M
2022,EX,FT,Machine Learning Scientist,200000,USD,200000,US,100,US,S
2022,EX,FT,Machine Learning Scientist,180000,USD,180000,US,100,US,S
2022,SE,FT,Machine Learning Scientist,216000,USD,216000,US,0,US,M
2022,SE,FT,Machine Learning Scientist,144000,USD,144000,US,0,US,M
2022,MI,FT,Machine Learning Scientist,22800,USD,22800,EG,100,EG,M
2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S
2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
