work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Machine Learning Software Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,90000,USD,90000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,272000,USD,272000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,170000,USD,170000,US,0,US,M
2022,SE,FT,Machine Learning Software Engineer,375000,USD,375000,US,100,US,M
2022,SE,FT,Machine Learning Software Engineer,248400,USD,248400,CA,100,CA,M
2022,SE,FT,Machine Learning Software Engineer,183600,USD,183600,CA,100,CA,M
2022,EN,FT,Machine Learning Software Engineer,10000,USD,10000,MA,50,MA,S
2022,SE,FT,Machine Learning Software Engineer,227200,USD,227200,CA,100,CA,M
2022,SE,FT,Machine Learning Software Engineer,168000,USD,168000,CA,100,CA,M
