work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,M
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,M
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M
2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M
2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M
2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M
2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M
2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M
2023,EN,FT,Research Engineer,155000,USD,155000,US,0,US,M
2023,EN,FT,Research Engineer,125000,USD,125000,US,0,US,M
2023,EN,FT,Research Engineer,155000,USD,155000,US,0,US,M
2023,EN,FT,Research Engineer,125000,USD,125000,US,0,US,M
2023,EN,FT,Research Engineer,160000,USD,160000,US,0,US,M
2023,EN,FT,Research Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Research Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Engineer,175000,USD,175000,US,0,US,M
2023,SE,FT,Research Engineer,100000,EUR,107309,DE,100,DE,S
2023,SE,FT,Research Engineer,80000,EUR,85847,DE,100,DE,S
2023,SE,FT,Research Engineer,230000,USD,230000,US,0,US,M
2023,SE,FT,Research Engineer,148000,USD,148000,US,0,US,M
2023,EN,FT,Research Engineer,120000,USD,120000,GB,100,GB,M
2023,EN,FT,Research Engineer,60000,USD,60000,GB,100,GB,M
2023,SE,FT,Research Engineer,155850,USD,155850,US,0,US,M
2023,SE,FT,Research Engineer,102544,USD,102544,US,0,US,M
2023,MI,FT,Research Engineer,120000,USD,120000,US,100,US,M
2023,MI,FT,Research Engineer,100000,USD,100000,US,100,US,M
2023,EN,FT,Research Engineer,160000,USD,160000,US,0,US,M
2023,EN,FT,Research Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Research Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Research Engineer,100000,USD,100000,US,0,US,M
2022,SE,FT,Research Engineer,249500,USD,249500,US,0,US,M
2022,SE,FT,Research Engineer,149850,USD,149850,US,0,US,M
2022,SE,FT,Research Engineer,250000,USD,250000,US,0,US,M
2022,SE,FT,Research Engineer,150000,USD,150000,US,0,US,M
2022,MI,FT,Research Engineer,240000,USD,240000,US,100,US,M
