work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L
2023,SE,FT,Research Scientist,130000,USD,130000,US,100,US,M
2023,SE,FT,Research Scientist,110000,USD,110000,US,100,US,M
2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M
2023,SE,FT,Research Scientist,136000,USD,136000,US,0,US,M
2023,MI,FT,Research Scientist,161200,GBP,195895,GB,0,GB,M
2023,MI,FT,Research Scientist,84570,GBP,102772,GB,0,GB,M
2023,MI,FT,Research Scientist,210000,USD,210000,US,100,US,M
2023,MI,FT,Research Scientist,151800,USD,151800,US,100,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
2023,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,141288,USD,141288,US,0,US,M
2023,SE,FT,Research Scientist,94192,USD,94192,US,0,US,M
2023,EN,FT,Research Scientist,150000,USD,150000,US,0,US,M
2023,EN,FT,Research Scientist,100000,USD,100000,US,0,US,M
2023,MI,FT,Research Scientist,185000,USD,185000,US,100,US,M
2023,MI,FT,Research Scientist,125000,USD,125000,US,100,US,M
2023,SE,FT,Research Scientist,215000,USD,215000,US,0,US,M
2023,SE,FT,Research Scientist,146300,USD,146300,US,0,US,M
2023,MI,FT,Research Scientist,340000,USD,340000,US,100,US,M
2023,MI,FT,Research Scientist,150000,USD,150000,US,100,US,M
2023,EN,FT,Research Scientist,150000,USD,150000,US,0,US,M
2023,EN,FT,Research Scientist,100000,USD,100000,US,0,US,M
2023,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
2023,MI,FT,Research Scientist,185000,USD,185000,US,0,US,M
2023,MI,FT,Research Scientist,125000,USD,125000,US,0,US,M
2023,SE,FT,Research Scientist,253750,USD,253750,ES,0,ES,M
2023,SE,FT,Research Scientist,169200,USD,169200,ES,0,ES,M
2023,SE,FT,Research Scientist,253750,USD,253750,ES,0,ES,M
2023,SE,FT,Research Scientist,169200,USD,169200,ES,0,ES,M
2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,248100,USD,248100,CA,0,CA,M
2023,SE,FT,Research Scientist,145900,USD,145900,CA,0,CA,M
2023,MI,FT,Research Scientist,85000,USD,85000,US,0,US,M
2023,MI,FT,Research Scientist,70000,USD,70000,US,0,US,M
2022,MI,FT,Research Scientist,23000,USD,23000,IN,100,IN,L
2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M
2023,SE,FT,Research Scientist,151800,USD,151800,US,0,US,M
2023,SE,FT,Research Scientist,180000,USD,180000,US,0,US,M
2023,SE,FT,Research Scientist,145000,USD,145000,US,0,US,M
2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
2023,SE,FT,Research Scientist,120000,USD,120000,US,0,US,M
2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M
2023,SE,FT,Research Scientist,165750,USD,165750,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
2023,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Research Scientist,248100,USD,248100,US,0,US,M
2023,SE,FT,Research Scientist,145900,USD,145900,US,0,US,M
2022,SE,FT,Research Scientist,249500,USD,249500,US,0,US,M
2022,SE,FT,Research Scientist,149850,USD,149850,US,0,US,M
2022,SE,FT,Research Scientist,210000,USD,210000,US,100,US,M
